Class,IntA,IntB
0,Q8NCN2,P09132
0,P14598,Q13761
0,P14598,O60762
0,Q12789,P48735
0,Q08495,Q05048
0,Q08495,P05423
0,Q08495,P17509
0,Q9Y2D0,P51688
0,P25774,P42679
0,P25774,Q5XPI4
0,Q15327,Q13162
0,Q15327,Q9BV79
0,Q8N183,Q16666
0,Q8N183,Q9UBD5
0,P39748,O75828
0,Q9Y291,P56282
0,Q9Y291,Q6ISB3
0,Q9Y291,Q15744
0,Q16254,Q96HA7
0,P48147,Q01538
0,P48147,O95948
0,P48147,O95990
0,P00918,Q15916
0,P00918,O94782
0,O95639,Q8WVM0
0,O95639,P05787
0,P15036,O60941
0,P15036,Q9BYD6
0,O75880,Q9NSY1
0,Q07020,Q13247
0,Q07020,P24864
0,Q07020,O95751
0,O43791,P08319
0,O15235,P15976
0,Q5XKR4,Q9UHN1
0,Q92844,P06899
0,Q92844,P15848
0,Q8IZT9,Q92871
0,Q14469,P39023
0,Q9BYG8,Q96AJ1
0,P33076,Q96RP9
0,Q92731,Q8N4X5
0,Q92731,P15104
0,Q9H0E9,P00915
0,Q02548,P54098
0,Q9UBR1,Q93077
0,Q3YBR2,Q9BWD1
0,O00142,Q9NTZ6
0,Q16543,Q5QJE6
0,Q16543,O95619
0,P21291,P20591
0,P21291,Q96PC2
0,P05413,P27707
0,Q07864,Q99707
0,Q16851,P15336
0,Q16851,Q16633
0,Q16851,Q8NFU5
0,Q14106,P20823
0,Q14106,P08236
0,Q03164,O95400
0,Q8TDY4,Q07352
0,Q14914,P35227
0,Q14914,P41235
0,Q07617,P23409
0,P15374,O95990
0,P05089,P01106
0,P53396,Q8WYH8
0,Q01664,Q9UPN7
0,Q01664,O95405
0,Q9H6S3,Q9HCS4
0,Q9H6S3,Q96SD1
0,Q16740,P78337
0,Q16740,O95243
0,O43680,P49789
0,Q6UB35,P17861
0,Q6UB35,Q9P0K8
0,Q6UB35,Q5QNW6
0,Q6UB35,Q03052
0,P50548,Q92837
0,P50548,Q9HD34
0,P55039,O95948
0,Q9H257,P08579
0,Q9H257,P31274
0,P10074,Q9NVV4
0,P10074,P26639
0,Q9UDX5,P13349
0,Q9UDX5,P43235
0,Q8N573,Q9UNY5
0,Q8N573,Q9C0J8
0,Q14938,P43897
0,P50226,Q13285
0,P62917,Q13156
0,Q92698,Q8IX03
0,P49368,P49842
0,P18615,Q14999
0,P82933,P10275
0,P82933,Q9Y6X8
0,Q15415,Q96NW7
0,P09132,P10914
0,Q13362,Q02108
0,P61970,P28340
0,Q9UDW3,Q9UD71
0,P26358,Q14678
0,P20823,Q96Q11
0,Q99956,Q01201
0,P09488,Q13510
0,P09884,Q9NP92
0,P10412,P18085
0,P10412,Q7L7X3
0,P13984,Q2VPK5
0,P13984,P05787
0,P13984,Q13287
0,Q9UD71,P20290
0,Q9UD71,Q86YN6
0,Q5H9F3,Q13287
0,Q14651,P40617
0,Q14651,P62308
0,P31270,Q2PPJ7
0,Q96CS3,Q9Y5Q8
0,Q96CS3,Q6STE5
0,P31274,Q99707
0,Q9NX20,P31277
0,Q9NX20,Q8IXQ6
0,P82932,P10243
0,P82932,P12004
0,P09017,Q8WVN8
0,Q8WVN8,O95243
0,Q8WVN8,Q86TM3
0,Q8WVN8,P28358
0,Q8WVN8,Q12952
0,Q9UBX1,P22681
0,P62937,P29083
0,P62937,Q13105
0,P62937,Q8IXQ6
0,P12004,P10155
0,Q96PC2,O75643
0,Q96PC2,P35251
0,Q96PC2,P04053
0,P00441,P09429
0,Q9UDY6,Q15583
0,P56915,Q9NT62
0,Q9H7D7,Q9H5J8
0,Q6ISB3,Q8NFZ5
0,O14776,Q9HD40
0,P07992,P51553
0,P07992,P46199
0,O95926,Q96Q11
0,Q9NR20,Q9NWT8
0,Q9NR20,Q9Y618
0,P49753,P49917
0,Q6ZYL4,P20132
0,P27708,Q15319
0,P27708,Q5THR3
0,O43541,P00338
0,O43541,P17706
0,Q92871,Q93079
0,Q8IVL1,Q9HD40
0,Q8IVL1,P28838
0,Q99551,O43325
0,Q03923,Q8N9W6
0,O15540,Q15054
0,P06746,P23378
0,O43396,O15151
0,O43396,Q92949
0,Q15916,P35558
0,Q15916,Q9Y295
0,Q13115,P28838
0,P22531,O95931
0,P22531,O15156
0,P22531,O43781
0,P25398,Q99878
0,P55895,Q9BYN8
0,Q8TE04,Q8IZL9
0,Q9H5J8,Q6B8I1
0,Q9H2J4,P38571
0,Q15562,P51116
0,P15056,Q15560
0,P51688,Q9GZZ1
0,P51688,Q06124
0,Q9GZZ1,P18846
0,Q9GZZ1,P55317
0,Q9GZZ1,P12755
0,Q12931,P0DJD3
0,Q14190,Q96AA8
0,Q5SW96,Q8IXQ5
0,Q5SW96,P10243
0,Q5SW96,P52655
0,Q5SW96,P51946
0,O75936,Q15744
0,P50453,Q86WB0
0,Q15046,Q96DI7
0,Q15046,O43365
0,P48163,P01100
0,P48163,Q15697
0,Q01469,P54132
0,Q01469,P55316
0,O75446,Q96QT6
0,O75446,P20807
0,P19793,Q92526
0,P15104,Q5TB30
0,O60508,P48200
0,O75563,Q12837
0,O75563,P34059
0,Q13595,Q9Y6M4
0,Q15424,P23434
0,Q96GX9,Q9NV56
0,Q96GX9,Q6UB98
0,P49715,P17516
0,O95405,Q9BUJ2
0,Q9HC29,Q16594
0,Q9BYC9,Q9H9Q4
0,Q9NZI7,P21399
0,P40261,A0AVK6
0,Q04727,Q9P2Y5
0,Q6PL18,P49789
0,Q04837,Q15583
0,P29558,Q8IWT3
0,P29558,O43776
0,P09067,P59044
0,O60356,P22681
0,Q92526,O75807
0,Q15853,P49789
0,P49914,Q13247
0,P49914,Q16514
0,P28838,P0DJD3
0,Q15544,P54687
0,Q15544,Q96G61
0,O14948,Q9UJM3
0,O14948,Q9Y6M4
0,P10244,Q16612
0,Q15173,O15370
0,Q15173,Q9NZC4
0,P62875,Q13794
0,P0C7P0,Q14186
0,Q15906,Q6V1X1
0,Q15637,P49789
0,Q9UI32,Q03060
0,Q9UI32,Q05516
0,Q12947,P78368
0,Q9ULC6,Q99879
0,Q9ULC6,Q96KK5
0,Q9ULC6,Q8WYH8
0,P82930,Q9HCG8
0,Q9NR55,P29466
0,P15428,O75503
0,P15428,P05423
0,O94993,Q9BYC8
0,Q9H7Z6,Q8IVS2
0,Q14442,Q9Y3Z3
0,Q14442,P35269
0,P31150,P62879
0,Q8TBX8,P18848
0,Q8IUE6,Q9NNW7
0,P20591,Q9NZI6
0,P20591,O75478
0,P32119,P51532
0,Q9HD40,Q9UNY5
0,Q9HD40,Q9Y603
0,Q96T37,Q96Q11
0,P17706,Q9UL49
0,Q12952,Q9NYS0
0,P06732,P17050
0,P06732,P31267
0,O15105,P31273
0,P31269,Q96G61
0,Q9H4K7,Q92989
0,Q9UPV9,P29353
0,Q9P278,O60675
0,Q9P278,P28702
0,Q9P278,O00287
0,Q9P278,Q14781
0,O60563,Q969Y2
0,Q99697,O75828
0,Q13546,P41134
0,Q01658,Q02108
0,P12104,P61244
0,P20290,P24666
0,P19878,P23771
0,Q9BWT3,P46783
0,Q9BWT3,P40939
0,Q69YI7,Q8N142
0,Q7Z2X4,Q96T76
0,P50897,P49589
0,P50897,Q7Z569
0,P50897,Q99487
0,P53677,Q15545
0,O60315,P46783
0,O60711,P54845
0,O60711,Q9Y657
0,P49589,Q06546
0,Q02252,Q00688
0,Q96QV6,Q99714
0,P82970,P07864
0,O00170,Q15672
0,O00170,Q06710
0,O43593,Q9H6S1
0,P78540,Q8IXF0
0,P78540,O60583
0,Q9C0F3,Q6P1L8
0,P45877,P16383
0,Q08050,Q00169
0,P42679,P24468
0,P42679,Q96SD1
0,Q9UIK4,P35712
0,P41229,Q9Y4K4
0,P07686,Q9NP97
