Cls,IntA,IntB
1,Q14558,O60285
1,P35609,Q13224
1,Q14451,P06213
1,P35609,Q8WZ42
1,P46940,P17612
1,P04626,Q9NRD5
1,Q8TBZ3,O75317
1,Q8TBZ3,Q6ZVD8
1,P46940,O75369
1,P36405,Q9Y2Y0
1,P46940,P00533
1,P04626,P27986
1,O43747,Q96CW1
1,Q15208,Q7L9L4
1,O00213,P51693
1,O00268,Q7Z7C8
1,P04626,Q14974
1,P22830,Q9Y2K6
1,Q15542,Q7Z7C8
1,Q9UK80,Q86UV5
1,Q99741,P11801
1,Q9UK80,Q9H9S0
1,Q9Y285,Q8NFA0
1,Q96SU4,Q9BXB4
1,P78352,P33402
1,Q86Y82,O00161
1,Q86Y82,O43752
1,P78352,O60333
1,O75306,P49821
1,O75306,O75380
1,Q6P4R8,Q9C086
1,P78352,O75084
1,O75444,Q9Y5Q3
1,Q6ZVD8,Q96L92
1,P78352,Q12879
1,P78352,Q96A65
1,P78352,Q9P0K1
1,Q96EI5,Q9H3H9
1,Q9UQF2,Q16584
1,O95425,Q9UHB6
1,O00459,P10721
1,Q9UL15,Q5S007
1,Q9UNX4,O00567
1,O14908,Q16620
1,O00459,P06241
1,O14908,P31431
1,Q6PI26,Q96HR8
1,Q9NPE3,Q9NX24
1,O14908,P56192
1,Q99952,P00533
1,Q9HAU4,Q13017
1,Q71F23,Q6IPU0
1,Q71F23,Q7L2Z9
1,O14713,P22392
1,O00330,Q8IWL3
1,P08559,P09622
1,Q9UJM3,P00533
1,Q96ES7,Q9H8E8
1,P11836,P25942
1,P16070,P35240
1,Q15078,Q6ZMQ8
1,Q96D09,Q9BQ70
1,P25942,P40937
1,P16070,P26038
1,P16070,Q13501
1,Q8IY92,Q9BTT6
1,Q8IWV8,P49459
1,Q9NRD5,Q9Y624
1,Q9NRD5,P39086
1,O94906,Q15029
1,Q9NRD5,P78348
1,Q15020,Q8N5C6
1,Q04724,Q9NPC8
1,Q9H981,Q9C086
1,O75052,O14994
1,O75052,Q9Y272
1,Q8TDW5,O00194
1,P50750,O60885
1,Q86UR5,Q38SD2
1,Q96QF0,Q8TBN0
1,Q96QF0,Q9Y296
1,P50750,Q96JC9
1,P22681,P43403
1,P19532,P19484
1,P60866,Q5S007
1,P22681,P52735
1,P84095,Q92556
1,P54098,Q9UHN1
1,P22681,Q14289
1,Q8IZT6,Q96RT8
1,Q9NV70,Q15051
1,P22314,Q9Y385
1,P22314,Q13489
1,P22314,Q8WUN7
1,O75489,P49821
1,O14593,P39656
1,P22681,P55085
1,Q15532,Q92785
1,P22681,P16234
1,O75489,P56556
1,Q12846,O00186
1,Q9BQE3,Q13509
1,Q16849,Q9H254
1,Q6MZP7,Q52LA3
1,Q12846,P21579
1,P20338,O15066
1,Q99661,Q5SW79
1,Q12983,O60313
1,P22681,P04629
1,P22681,P60953
1,Q15276,Q9NZ52
1,Q15276,Q9UJY5
1,P06241,P16871
1,P06241,P43121
1,P56556,Q9NX14
1,P06241,P20916
1,P20749,P56545
1,P49821,O00217
1,P20339,Q9P2R3
1,P15498,P19235
1,O15519,Q15393
1,O15519,P25445
1,P15498,P09619
1,P15498,Q07666
1,O00560,P48058
1,O00560,P42261
1,O75880,Q14061
1,Q8NHM5,Q9BSM1
1,Q14457,Q92622
1,P15172,P41134
1,P19174,Q9Y2X7
1,P15172,Q96BH3
1,P19838,Q00653
1,P31150,Q9H0U4
1,P31150,O43791
1,P31150,Q969Q5
1,P19174,P20273
1,P19838,P12236
1,P15313,P38606
1,P31150,Q15286
1,P19174,Q14315
1,Q9BSB4,O75143
1,P19838,Q92785
1,P19838,P04350
1,P31150,P51148
1,Q9H2V7,P10415
1,P16471,O60674
1,Q8IUD2,Q8WVZ9
1,P29597,P29350
1,Q96BY2,P10415
1,Q14203,Q9Y2Q3
1,P29597,P06241
1,Q14203,Q9H8T0
1,Q00653,O15027
1,Q07812,Q9HD36
1,Q14203,P47755
1,P28482,Q07021
1,Q8TD16,Q14204
