Cls,IntA,IntB
1,Q9Y6I4,P30613
1,Q9Y6I4,Q6DKJ4
1,O14519,P04745
1,Q9H0E7,Q96EL3
1,P04626,P35222
1,Q15118,Q8N122
1,P04626,P15941
1,O43747,P56377
1,P46940,P60709
1,O75317,Q9BRK5
1,Q92597,P00338
1,P04626,Q05397
1,Q99741,Q13415
1,Q96SU4,Q86V97
1,P78352,P98164
1,Q8NB14,P25398
1,O75553,P51693
1,Q9Y294,P68431
1,Q9Y294,Q8IWY9
1,Q16718,O75489
1,Q7Z7C8,Q15544
1,P10242,P61956
1,Q70EL4,Q9UNX4
1,P51398,P82912
1,P78317,Q9HBE1
1,P78317,P03372
1,Q96FJ0,Q9NYZ3
1,Q9UQF2,O43318
1,O00459,P46109
1,Q16543,P19784
1,Q16543,P31749
1,O14908,P33993
1,Q8N6M0,Q86UE4
1,Q16543,P50750
1,Q16543,Q9UK32
1,Q9BW61,Q5H9S7
1,Q9BW61,Q96JK2
1,Q16543,Q9Y2H1
1,Q9UBS8,P51965
1,O75928,Q9UHL9
1,O75928,P35548
1,P08559,Q8TBZ3
1,Q96RS6,Q9Y678
1,P09237,P48023
1,Q12974,Q8NE01
1,Q12974,Q93096
1,Q12974,O75365
1,P25942,Q9BS26
1,Q8NB46,Q9UPN7
1,Q9NRD5,P49683
1,O94906,P83876
1,O94906,Q6P2Q9
1,Q15020,Q15287
1,Q13387,Q16584
1,Q13387,Q12852
1,Q13387,O15264
1,Q15020,Q9Y4E8
1,Q04724,Q15475
1,O75052,P17600
1,Q04724,Q9UJU2
1,Q04724,P09429
1,P50750,O75909
1,O75052,P29475
1,Q04724,Q08117
1,Q8NFJ9,Q9BXC9
1,Q96QF0,Q16385
1,O94888,Q6RI45
1,P50750,P62701
1,P22681,P51451
1,P22681,Q06187
1,O60884,Q8WW22
1,P21283,P15313
1,Q92556,Q9H7D0
1,Q9NV70,Q9H5N1
1,Q92614,Q9H4A6
1,P62820,Q01968
1,O14593,O00287
1,O75489,Q9BQ95
1,P22681,O14492
1,O75489,O95168
1,O75489,O95169
1,P22681,O43561
1,P22681,P06241
1,Q12846,P20338
1,P22681,P08581
1,Q14739,Q8N3X1
1,Q12846,O00161
1,O14727,Q9HD36
1,Q16827,Q9HCN8
1,P20338,Q9H1K0
1,Q12981,Q9NZ43
1,Q12983,Q08722
1,Q12983,O60238
1,Q12983,P17152
1,Q12983,P10415
1,O43678,P51970
1,P22681,P35579
1,P22681,P28907
1,Q6WKZ4,P62491
1,O15066,Q9Y496
1,Q6WKZ4,Q15907
1,P06241,P04216
1,Q9UI09,Q9Y6M9
1,P10588,O15442
1,Q9UI09,O43181
1,P15498,P43405
1,P15498,P52566
1,O75380,P49821
1,O75380,P28331
1,P30049,P56385
1,P20339,P51149
1,P15498,P06241
1,P15498,P06213
1,O00560,Q06945
1,Q86XI2,P42695
1,O15519,O00220
1,O15519,P50591
1,O00560,Q01344
1,P01892,Q9BX59
1,P19174,Q08881
1,P19174,P12931
1,O00560,O75170
1,Q14457,O95229
1,P19174,Q05397
1,Q14457,Q9Y371
1,P15172,P00540
1,Q14457,Q6ZNE5
1,P15172,Q02535
1,Q14457,P46934
1,Q3SYG4,Q8N3I7
1,Q14318,P07900
1,P19174,Q13480
1,Q5VUJ6,Q96II8
1,P19174,P00519
1,P19174,Q16620
1,P19838,P42226
1,P31150,P60953
1,P15313,P61421
1,P31150,P51149
1,P31150,P61026
1,Q9NYF3,P61962
1,O60238,P10415
1,Q8IUD2,Q9NRW1
1,Q96RT8,Q96RT7
1,Q96RT8,Q9Y5B8
1,Q96BY2,Q07812
1,Q14203,P43034
1,Q14203,P52732
1,P28482,P36956
1,P28482,P17676
1,Q2M2I8,Q9NQ11
1,P15880,P62244
1,Q07812,P37840
1,Q14203,Q9UJW0
1,Q07812,P10415
1,P28482,Q15418
1,Q9Y371,Q9NR46
1,Q8NI27,Q9Y3Y2
1,Q14197,P49406
1,Q14197,Q9BYD3
1,Q14197,Q9NP92
1,P62834,Q8TEU7
1,Q14197,Q13084
1,P28482,P19438
1,P09001,Q8N5N7
1,Q4U2R6,Q8N5N7
1,Q8N5N7,Q96DV4
1,Q5SXM2,Q16533
1,Q8N5N7,Q9BYD2
1,Q8N5N7,Q9BYD6
1,P61224,P19320
1,Q9HAW0,Q9NVI1
1,Q9HAW0,O60762
1,P28482,P33076
1,P28482,Q9BRR9
1,P26367,Q99626
1,P28482,P27361
1,P21333,P62993
1,P36897,P01137
1,P21333,O95067
1,Q9BYD2,P52815
1,P21333,P19320
1,P21333,O95425
1,P36897,Q9NPB6
1,Q9BYD2,Q96A35
1,Q15311,Q8NFH8
1,Q9BYD3,Q9H2W6
1,Q15311,Q9Y6I3
1,Q15311,Q00613
1,P43405,P09769
1,P43405,P07948
1,P41182,Q8N143
1,P43405,Q06187
1,P37287,P57054
1,O60506,Q9UHX1
1,O60506,Q9Y6E0
1,P04155,Q6UX41
1,P04155,Q9NYZ4
1,Q96KP1,O00471
1,O95405,P29590
1,Q9H5I1,Q8N5Z5
1,P63167,O76070
1,Q9H5I1,Q9UDV6
1,P10586,P35222
1,P43405,Q8TF42
1,P63167,Q9NRL3
1,P98175,Q92917
1,Q8N5Y2,Q68DK7
1,P63167,Q9NP97
1,Q9H3F6,Q13829
1,Q15464,Q12929
1,Q15464,Q13094
1,Q14204,Q15714
1,P42680,Q99704
1,Q14204,Q9Y6G9
1,P07814,P41252
1,Q14204,Q9NP97
1,Q9HCG8,Q9Y421
1,P07814,Q9H492
1,P07814,P14859
1,P0DI81,Q7Z392
1,P0DI81,Q8IUR0
1,Q08499,Q5VU43
1,O43482,Q6P0N0
1,P61978,P63279
1,P54136,Q15287
1,P54136,Q13155
1,P54136,Q9P2J5
1,P61962,Q8WXX7
1,Q9Y496,O14782
1,Q06609,Q96B01
1,P61962,Q53LP3
1,P52948,P78406
1,Q13509,O00423
1,P52948,Q9H0J4
1,P52948,Q96EE3
1,Q9UKV0,Q02078
1,Q06609,Q96KN1
1,Q13239,P09619
1,Q9BU64,Q96H22
1,Q6NYC1,Q8NAV1
1,Q8WUI4,P25101
1,Q14289,Q92796
1,P51587,Q86YC2
1,P51587,P38398
1,P51587,Q99728
1,P51587,Q14565
1,P51587,O43542
1,Q86X55,Q96PU8
1,Q6ZRS2,Q9Y265
1,P54132,Q15554
1,P54132,Q9BXW9
1,Q9Y5W5,O00755
1,P55735,O15027
1,Q15910,Q9UBC3
1,Q9Y6Q5,P56377
1,O75607,Q86SE8
1,P54132,Q96E14
1,Q8N5Z5,Q14681
1,P35243,P43250
1,P62826,O14980
1,P62826,Q96S59
1,Q9P287,P38936
1,P46777,P43146
1,Q13094,P06239
1,P46777,P62913
1,Q13094,O75886
1,Q13094,P63104
1,Q15942,P12814
1,P62826,P19320
1,Q9HAW8,Q9HAW7
1,Q15942,P19320
1,O60675,Q9Y4A8
1,P43487,O14980
1,O14980,P63241
1,O14980,P52594
1,P42330,P51857
1,O43255,P43146
1,O43255,Q9H2X6
1,O14980,O15392
1,O43255,P35372
1,O14980,Q15717
1,P55081,Q13123
1,O14980,P19320
1,Q9Y6C2,Q5JTB6
1,O43561,P27986
1,Q8N2I9,Q96RU8
1,O14561,Q9HD34
1,P46934,Q9Y3C5
1,O15524,Q04206
