Cls,IntA,IntB
1,Q14451,P21860
1,Q70CQ1,Q12798
1,Q14451,Q5SQ64
1,Q70CQ1,Q96P70
1,P04626,P78352
1,P35609,P50461
1,P04626,Q99952
1,Q15118,P23443
1,Q15118,Q15120
1,P04626,P07900
1,Q92995,P46379
1,O43747,Q9Y6Q5
1,P04626,P12931
1,P04626,P14923
1,O43747,P84077
1,P04626,Q02297
1,O60832,Q6PI26
1,P22830,Q9H9J4
1,P04626,O95292
1,Q99741,Q13416
1,Q12962,Q15543
1,Q99741,P49736
1,Q14331,Q9HCG8
1,Q99741,Q06190
1,Q86Y82,P60880
1,P78352,O15399
1,P78352,P63167
1,Q9Y294,Q6ZU65
1,P78352,Q9C0C4
1,Q9Y294,Q9Y2V0
1,Q9Y294,O14929
1,P78352,O14490
1,Q7Z7C8,O94864
1,P49116,P13056
1,Q9UQF2,P31749
1,O60306,Q9BRX9
1,Q9BSJ2,Q96RT7
1,Q9BSJ2,Q9Y5B8
1,Q9UGM3,P35247
1,O00459,P10747
1,O14908,P49795
1,O00459,P01133
1,O14908,P23229
1,Q9H3U1,Q6ZRV2
1,Q7L2J0,Q4G0J3
1,Q16543,P53041
1,Q49A88,Q96MT8
1,Q96GW7,P03956
1,Q9HAU4,Q9Y3C5
1,Q9HAU4,O43541
1,Q16543,P06241
1,O00330,Q15119
1,O00330,P09622
1,P08559,Q15118
1,Q15078,Q96SN8
1,Q96N67,Q7L9L4
1,P20336,P26374
1,P11836,P06241
1,Q96EL3,Q8N5N7
1,P16070,P02751
1,P16070,P12931
1,Q96HS1,Q8IY92
1,Q9NRD5,Q14831
1,Q9NS91,Q9BXW9
1,Q9H0U9,Q9ULU4
1,Q9NRD5,P42261
1,O00567,P40429
1,Q13387,O14733
1,O00567,Q49A26
1,Q13387,P00533
1,Q9H981,Q9ULG1
1,Q9BZE1,Q9BYD2
1,P05062,Q8NFJ9
1,Q04724,Q05925
1,Q8NFJ9,Q8N3I7
1,Q9UGL1,P55771
1,P50750,P10809
1,Q96QF0,O43617
1,Q9BQ15,Q9NRY2
1,P22681,P15498
1,P50750,P51826
1,P60866,P62244
1,P50750,Q9NYV4
1,P55042,P15531
1,P07951,Q9NR12
1,P19484,O14948
1,O14948,O75030
1,P22314,Q9H2C0
1,P22681,P46109
1,P22681,O43597
1,P62820,Q8TDZ2
1,P62820,P31150
1,P22681,P31946
1,P22681,Q06124
1,O60763,O75365
1,P22681,P27986
1,O75489,P56181
1,O75446,Q5PSV4
1,P22681,P06239
1,O75489,Q9NX14
1,Q12846,Q9BV40
1,O95477,P60953
1,P20338,Q15276
1,P22681,Q99962
