Cls,IntA,IntB
1,Q14451,P10721
1,P35609,Q12959
1,Q14451,P31947
1,Q70CQ1,Q8NB46
1,O14519,Q8WXI9
1,P04626,Q9UJM3
1,O14519,O94776
1,Q8TBZ3,P13942
1,P46940,P62068
1,P46940,P19320
1,P46940,P42566
1,Q14562,Q9ULR0
1,P04626,P21860
1,P04626,Q99650
1,Q4VCS5,Q86WA8
1,Q99741,Q9Y5P8
1,P04626,P05023
1,Q12962,Q7Z7C8
1,P04626,P22681
1,O75323,Q9BPW8
1,P78352,P35609
1,Q12962,Q9Y6J9
1,Q9Y294,Q13112
1,Q9NR21,Q9Y508
1,Q9Y294,Q9NPG3
1,P78352,Q15700
1,Q9P2N7,Q53GT1
1,Q7Z7C8,Q16514
1,O75444,P35869
1,Q15853,P22415
1,Q16540,Q8N5N7
1,Q15853,P06748
1,Q8TAC2,Q96HN2
1,P78352,Q96FJ2
1,P78317,P29590
1,Q9BSJ2,Q6NZ67
1,P78352,Q96NW7
1,P48436,Q93074
1,Q16543,Q9NRG4
1,Q9UHW5,Q8IXW5
1,O00459,P46108
1,Q9NYZ3,Q709F0
1,Q16543,Q5S007
1,Q16543,Q13043
1,Q9H6R4,O00567
1,Q9HAU4,Q9BUZ4
1,Q9BW61,Q8TEB1
1,Q9HAU4,Q99717
1,Q71F23,Q9NSP4
1,P08559,Q15119
1,P08559,P52429
1,Q5VVQ6,Q96J01
1,P53611,Q92696
1,Q96N67,Q8NF50
1,P16070,P36897
1,P16070,Q13009
1,Q96ES7,Q9ULM3
1,Q96ES7,Q6P2E9
1,Q12974,Q6P4Q7
1,P16070,P13611
1,P16070,P06241
1,P25942,P22087
1,P63146,Q8IWV8
1,Q9BQ83,Q96AY3
1,P63146,P22314
1,P63146,P35222
1,O94906,Q8WWY3
1,Q9NRD5,Q01959
1,Q9BQ83,Q9UJS0
1,Q9NRD5,P42263
1,P35241,Q6ZVD8
1,O00567,Q9NW13
1,O00567,P62244
1,Q9NWS0,Q9H6T3
1,Q9H6T3,Q96MX6
1,Q04724,Q04725
1,Q04724,O95343
1,Q15020,Q7L2J0
1,Q9H9F9,Q9H981
1,Q04724,O95475
1,Q15020,Q71F23
1,O75052,Q8N5F7
1,Q9BZE1,Q14197
1,P50750,Q4G0J3
1,Q04724,Q9HC29
1,P50750,P50991
1,P55316,O75593
1,Q8NFJ9,Q8TAM2
1,Q9BXC9,Q8N3I7
1,P55042,Q13555
1,P50750,P42568
1,P22681,P07948
1,P55042,P00533
1,P57105,Q13705
1,P57105,Q15311
1,O60884,Q9BQE3
1,Q14185,P84095
1,Q9C086,P18065
1,Q9C086,Q6PI98
1,P22681,O15357
1,Q53TQ3,Q9ULG1
1,Q92556,P08631
1,P22314,P38398
1,Q92556,Q8TD17
1,P22314,P46934
1,P22681,P62837
