Cls,IntA,IntB
1,P29274,Q7Z6G3
1,Q9Y6I4,O15034
1,P60891,O60256
1,O14519,O75956
1,Q14451,P07949
1,P35609,Q53GG5
1,Q12798,Q2NKQ1
1,P04626,P62993
1,P46940,P62330
1,P46940,P62993
1,P04626,Q06124
1,Q9BWU0,Q9NY27
1,P46940,Q99816
1,Q9Y5T5,Q99880
1,P46940,Q5S007
1,O75317,Q6ZVD8
1,P04626,P19174
1,Q13206,O00567
1,Q70CQ3,Q8N594
1,P04626,P16070
1,P04626,Q05209
1,Q4VCS5,Q01167
1,P04626,O75367
1,Q12962,Q9NPA8
1,Q12962,O75529
1,Q99741,P0CG47
1,Q01167,Q8IXJ9
1,P78352,Q9P1A6
1,P10242,Q9UBE8
1,P10242,P29590
1,P49116,O60341
1,P78352,Q09470
1,Q6P4R8,Q9H9F9
1,Q15853,P38398
1,Q16540,Q9BYD2
1,P78317,P51965
1,P78352,P29475
1,P78317,Q969T4
1,P78317,Q9Y2X8
1,Q9UQF2,Q13387
1,P78352,O95970
1,Q9UQF2,Q12852
1,Q9BQG0,Q9NY93
1,Q9BQG0,Q9NX58
1,O00459,P29353
1,Q9BSJ2,Q96RT8
1,O14908,P08588
1,Q16543,P07900
1,O00459,P09603
1,O14908,P11166
1,Q16543,O14879
1,Q9HAU4,P36897
1,O14908,O00159
1,Q96GW7,P08253
1,P29803,P11177
1,Q9HAU4,Q15038
1,P11177,P09622
1,Q16543,P30307
1,P11177,P10515
1,Q9HAU4,Q12904
1,Q9HAU4,P51668
1,Q15078,Q9UQM7
1,Q15078,Q96SZ6
1,P09237,Q96GW7
1,P20336,Q8TDW5
1,Q86TJ2,Q9HBM6
1,P25942,Q13490
1,Q9NS91,Q14527
1,Q9NRD5,P98172
1,Q9NRD5,P29323
1,Q9NRD5,P17252
1,O94906,Q53GS9
1,O00567,P55769
1,Q92887,P19838
1,O00567,P15880
1,Q13387,Q92913
1,P24386,P62820
1,Q15020,Q9H6E5
1,P50750,Q9UHB7
1,Q8TDW5,P51159
1,Q04724,Q04206
1,Q04724,O95231
1,Q8TDW5,P20340
1,Q96QF0,Q96Q05
1,Q9BXC9,Q8TAM2
1,P22681,P09769
1,P22681,Q08881
1,P19532,O75030
1,P19532,P53396
1,P22681,P43405
1,P22681,Q13094
1,P22314,O14964
1,P62820,P26374
1,Q9BZJ0,Q8WUD4
1,P62820,P42345
1,O75489,O75251
1,O60763,Q08379
1,P22681,P42229
1,O60763,O15027
1,Q15532,Q96GM5
1,Q15532,O14497
1,P61019,Q08379
1,P61019,Q9UI12
1,P61019,P61421
1,P61019,P51149
1,O75489,O75380
1,P61019,Q9H8Y8
1,O75446,Q4LE39
1,Q12846,Q5T5C0
1,Q9BQE3,Q5S007
1,Q16849,Q92543
1,P62269,P46782
1,Q8IXI2,Q9BXM7
1,P22681,P42338
1,P06241,P20749
1,P06241,P16410
1,O43678,O75380
1,P06241,P30419
1,Q9UI09,O00217
1,P24468,P15172
1,P20749,Q99728
1,P20339,P26374
1,P15498,P60953
1,Q13323,Q16548
1,Q9BU61,Q9P032
1,P15498,P29350
1,O00198,Q92843
1,P06493,P33552
1,O15519,O75618
1,O00560,P98172
1,P15498,O60674
1,O00560,P42262
1,Q96J92,Q9UH77
1,O43521,Q07812
1,Q9H672,Q6NT76
1,P19174,Q07890
1,P19174,P78314
1,Q9BTC8,O60341
1,P15172,Q02363
1,P19174,Q07666
1,P15172,Q99750
1,P19174,Q9GZY6
1,P19174,P35968
1,P20340,Q8TD16
1,P19838,P52926
1,Q9BQ95,Q8IUX1
1,Q93050,P15313
1,P19838,P05141
1,P15313,Q9Y5K8
1,P31150,P61106
1,P31150,Q13636
1,Q8N3I7,Q8TAM2
1,P16471,P42680
1,Q9UI14,P63027
1,Q8NDX5,O95503
1,Q8NDX5,Q9UN30
1,Q9UI14,P37840
1,P16471,P01241
1,Q14203,P08670
1,P29597,P78552
1,O60341,Q8NEC7
1,P29597,O75886
1,O60341,Q9UBX0
1,P28482,P54829
1,P15880,P62266
1,Q14203,P47756
1,O95235,Q13257
1,Q14197,P09001
1,Q16584,O14733
1,Q16584,Q7Z6J0
1,P28482,P51955
1,P28482,Q9HBH9
1,P28482,P56524
1,P28482,P84022
1,P28482,Q16828
1,Q14197,P52815
1,P49406,Q8N5N7
1,P49406,Q9BYD2
1,Q8N5N7,Q13084
1,Q8TEU7,O14807
1,Q8N5N7,Q5T653
1,P28482,P01100
1,Q9HAW0,Q9C0E2
1,Q8N5N7,Q13405
1,P21333,P49407
1,Q8N5N7,Q9BYD1
1,P28482,P53778
1,P21333,Q5VV17
1,Q9BYD1,Q9BYD3
1,P21333,P08238
1,P21333,P03372
1,P36897,Q8WUH2
1,Q8IZX4,P62380
1,P36897,Q13153
1,P36897,Q13485
1,P36897,O43318
1,P36897,Q9Y4K3
1,P62244,P46782
1,P41182,Q9BTC8
1,P43405,P05107
1,P43405,Q05397
1,O60506,Q9H2B2
1,Q96KP1,O60645
1,P43405,Q8WV28
1,Q9UDY4,O75953
1,Q96KP1,Q9NV70
1,P43405,Q14247
1,Q96EP0,Q9BYM8
1,O75334,P30153
1,Q15464,P27986
1,Q13136,Q8ND30
1,P63167,Q16656
1,P52799,P54760
1,Q15464,P11362
1,P29320,P46108
1,O15541,Q13123
1,Q96G23,P07307
1,P07814,P19532
1,P61978,Q15366
1,Q14204,Q13561
1,P41238,Q9UBS4
1,P61978,Q5VWX1
1,P61962,Q96F45
1,P61978,P09651
1,Q9Y496,Q02779
1,P52948,P55735
1,Q6IPU0,Q7L2Z9
1,P61978,P04637
1,Q06609,O14757
1,Q06609,O43542
1,Q13239,P29317
1,Q9UKV0,Q9BZS1
1,Q14289,Q9BZ72
1,Q9P2S5,Q8N0Z3
1,Q96B01,P62068
1,Q92698,Q96HA8
1,Q9BRD0,Q9Y388
1,Q14289,P06396
1,Q9NQ11,Q9BT88
1,P55735,Q9BW27
1,O94979,Q15436
1,Q15910,P26358
1,Q15910,Q9Y6K1
1,Q15910,Q9Y483
1,Q9H871,Q9H7D7
1,Q9ULT6,Q6UXX9
1,P62826,P43487
1,Q15910,Q13620
1,Q15910,Q9Y4K0
1,P62826,P49790
1,Q86UL8,P35222
1,P49366,P63241
1,P49366,P32969
1,P62826,Q8TD19
1,P48506,P48507
1,P62826,Q13418
1,O95343,Q92570
1,Q9Y261,P32243
1,P18754,P17542
1,Q9Y261,P20719
1,Q15942,P56945
1,P78314,O43561
1,P78314,Q9UJU6
1,Q9NZ43,A2RRP1
1,O14867,P35638
1,O14980,Q12824
1,O43255,Q9GZU2
1,O14980,Q9H6Z4
1,Q9UKD2,O95478
1,O14980,O95149
1,O14980,Q9H814
1,O43255,Q9H6Z9
1,P32322,Q96C36
1,O43561,O75791
1,Q9Y303,Q8TDQ7
1,O75787,Q9Y2K6
1,O14561,Q9Y697
1,P15927,P23025
1,O15524,P06213
