Cls,IntA,IntB
1,P35609,O00151
1,P35609,O75112
1,P31949,P04083
1,Q9H0E7,Q16540
1,Q8TBZ3,Q15527
1,P04626,Q15303
1,P46940,O43707
1,O43747,Q9NVZ3
1,P04626,P42679
1,Q14562,Q96RS6
1,O60832,Q9NPE3
1,Q15542,Q12962
1,Q9UK80,P04066
1,P04626,P02786
1,P22830,O00264
1,Q15542,Q15543
1,P04626,P06241
1,Q99741,O43913
1,Q99741,P38936
1,Q8NFA0,Q8N1G4
1,Q99741,P33993
1,Q12962,Q14CW9
1,Q12962,Q5VWG9
1,Q96SU4,Q9P2S5
1,Q8NB14,P47929
1,P78352,Q16478
1,Q9Y294,Q9NVP2
1,Q9P2N7,O95789
1,Q86Y82,O75379
1,P78352,O14964
1,Q86Y82,Q96AJ9
1,O75306,O75489
1,P78352,Q9HAP6
1,Q7Z7C8,Q15543
1,O75444,P01100
1,P78352,Q13224
1,O43294,P04792
1,O43294,Q01959
1,Q15853,P29508
1,P78317,Q9UHF7
1,Q9BSJ2,Q6P582
1,Q9BQG0,P03372
1,O00459,P00533
1,O00459,P37173
1,Q8WWY3,Q8WYA6
1,O14908,P17643
1,Q9NYL9,Q9NQX4
1,O14908,Q8N1F7
1,O14908,Q01995
1,Q16543,P29474
1,Q9NQ50,Q8N5N7
1,Q9HAU4,P84022
1,Q71F23,Q92674
1,Q9UBS8,Q969T4
1,Q13017,P52198
1,Q15078,Q96JB5
1,Q86TJ2,Q96ES7
1,Q96ES7,O75528
1,P16070,P00533
1,P16070,P06239
1,Q12974,Q9H8M5
1,Q8NB78,Q9BZ95
1,Q96L73,Q96IT1
1,Q9NS91,Q9UBT6
1,P63146,Q8IWV7
1,Q9BQ83,Q9GZT3
1,O00567,Q8TDN6
1,Q9NRD5,Q13003
1,Q9NRD5,Q05084
1,Q15020,Q9UK45
1,Q04724,O14607
1,O00567,Q9NVP1
1,Q15020,Q14331
1,Q13387,Q02779
1,Q04724,O75626
1,Q15020,Q9Y3B9
1,Q15020,Q9H0S4
1,Q15020,Q8WWY3
1,Q68E01,Q9BQ15
1,P24386,P51149
1,P24386,Q92696
1,P50750,O94992
1,Q86UR5,Q04917
1,P05062,Q9BXC9
1,Q96QF0,O95716
1,P50750,Q03111
1,Q96QF0,P48553
1,Q13555,O43707
1,Q14185,Q92556
1,Q14185,P46108
1,Q14185,P62993
1,P62820,O60763
1,O60763,Q6P1W5
1,O14593,Q96EY7
1,P50539,P61244
1,Q12846,P20339
1,Q12846,P63027
1,O75446,O75182
1,O75446,P85037
1,P62269,P62266
1,Q16799,Q16739
1,P22681,P51668
1,Q9H063,Q9UH62
1,Q15276,P20339
1,P22681,P62258
1,P22681,P61081
1,Q15276,P17677
1,Q15276,P27348
1,P06241,Q12879
1,P06241,P06127
1,P56556,O75380
1,P15498,P42680
1,Q9UI09,O75251
1,P15498,Q13239
1,Q9H1K0,P20339
1,Q9H1K0,Q9NRW7
1,P20749,Q00653
1,O75380,P03905
1,P20749,Q86UW6
1,P15498,P78314
1,P15498,Q13191
1,P49821,P28331
1,P15498,P62993
1,Q86SZ2,P0DI81
1,O43521,P63167
1,P17066,Q9UDY4
1,Q96QB1,Q8IX03
1,O43521,Q16548
1,O00560,Q9Y3C5
1,Q6KC79,Q9Y6X3
1,P19174,P04629
1,P19174,P42768
1,P19174,Q15464
1,Q14457,Q9P2Y5
1,Q9BSM1,Q5H9F3
1,Q14457,O15392
1,P19174,Q96QT4
1,P19174,P62993
1,P19174,P17948
1,Q7Z4H7,Q68CZ6
1,P19838,Q01201
1,Q68CZ6,Q9NVX0
1,P19838,P12980
1,Q9BQS8,O60341
1,P19838,P34931
1,P31150,Q9BZG1
1,P16471,Q06124
1,P19838,O14965
1,P16471,P01236
1,P16471,P62937
1,O60238,Q9NQ11
1,Q9Y484,Q96BY7
1,P29597,P17181
1,P29597,P18031
1,Q9H4A3,Q9UH77
1,P29597,P42224
1,Q00653,O00221
1,Q8TAP6,O15078
1,Q00653,P62888
1,Q14203,Q7L1Q6
1,O60341,Q8N4C7
1,Q00653,O00231
1,P28482,P35236
1,O60341,Q6P047
1,Q14203,O14576
1,Q07812,P55957
1,P28482,Q12772
1,P15880,Q5C9Z4
1,Q9Y371,P24522
1,Q8TB24,P46108
1,P62834,O43566
1,O14733,O75293
1,P62834,Q9Y4G8
1,O43566,P10114
1,P09001,Q9BYD2
1,P28482,P32121
1,Q8N5N7,Q9P015
1,P52657,P62380
1,Q8TEU7,Q12923
1,Q5SXM2,P14859
1,Q8N5N7,Q9NRX2
1,Q8N5N7,Q6P1L8
1,P21333,P14416
1,Q8N5N7,O95900
1,P21333,Q13283
1,P36897,P62942
1,P21333,Q99759
1,P36897,P63010
1,P36897,P98082
1,Q9BYD2,Q8IXM3
1,Q9BYD2,Q96GC5
1,P21333,P35579
1,P11233,P84077
1,Q15311,P11234
1,Q9BYD3,Q9NRX2
1,Q15311,Q14790
1,Q86W42,Q13838
1,P43405,P29350
1,Q5S007,P62841
1,Q8IYI6,Q8TAG9
1,O60506,P62633
1,Q96KP1,Q9UGK8
1,Q96KP1,P11234
1,Q96KP1,Q8TAG9
1,Q9H5I1,Q5T6S3
1,Q9Y5K8,P61421
1,O75334,O15083
1,Q15464,P62993
1,Q68DK7,O60356
1,P63167,Q9NVV4
1,P29320,Q15375
1,P42680,P29353
1,Q9Y678,Q9P299
1,P61978,P07948
1,P61978,P17676
1,P27708,Q5U5Q3
1,O43482,Q9NYP9
1,P61962,Q9H7S9
1,Q02779,P60953
1,Q02779,Q13562
1,P61978,Q00987
1,P61978,Q9H3D4
1,Q06609,P46100
1,Q06609,P43351
1,P61978,P61956
1,Q9BXJ9,Q9GZZ1
1,Q9UQ88,Q96S94
1,O00148,P82979
1,Q06609,P11245
1,Q06609,Q9BZ95
1,Q96RS0,P22087
1,Q8WUI4,Q9BZS1
1,Q86X55,Q15717
1,Q8WTW4,Q12980
1,P54132,O75771
1,Q9BSJ8,A0FGR8
1,P48553,Q8IUR0
1,Q15910,Q92833
1,Q9Y6Q5,Q96PC3
1,Q15910,Q09028
1,O60566,O76070
1,O60566,O43684
1,Q15910,Q5T6S3
1,P34947,P30556
1,Q2MKA7,Q9BXB1
1,Q15910,P35226
1,Q92630,Q9NR20
1,Q15910,P38398
1,P15735,Q93100
1,Q7Z589,Q15326
1,Q7Z589,O75182
1,P62826,Q9HAV4
