Cls,IntA,IntB
1,P11908,O60256
1,O14519,P24941
1,Q70CQ1,Q149N8
1,Q70CQ1,Q9H0E7
1,O14519,Q9UBB5
1,Q9H0E7,Q9Y4P3
1,P36405,O75695
1,O43747,P61966
1,P46940,P60660
1,Q14562,O60508
1,P04626,P40763
1,O60832,Q96HR8
1,O00268,Q16514
1,O00213,Q92993
1,O00268,Q15543
1,P22830,P30153
1,Q15542,Q16514
1,Q9UK80,Q5T5X7
1,Q99741,Q9H211
1,Q9Y285,Q9NSD9
1,P78352,P17252
1,Q12962,O94864
1,Q9Y294,Q96HA7
1,Q86Y82,P46459
1,P10242,Q15326
1,P51398,P07900
1,P78352,P22001
1,P51398,P62633
1,Q15853,P01100
1,P78352,Q9Y698
1,Q15853,P06702
1,Q15853,P48594
1,P78317,P61077
1,P78352,Q14957
1,Q15853,P35637
1,P78352,Q14114
1,Q9UQF2,O14733
1,P25398,P62269
1,P78317,P51668
1,O95425,P47755
1,O00459,P62993
1,O00459,O00329
1,O00459,P21860
1,O00459,Q15303
1,O00459,P42336
1,Q16543,Q9HC98
1,O14908,P08648
1,Q99952,Q9H939
1,Q9HAU4,Q15796
1,Q9HAU4,Q15797
1,Q9HAU4,O15105
1,Q71F23,Q9BU64
1,Q9NQU5,P60953
1,Q13017,P61587
1,Q13017,Q92730
1,O75928,Q99497
1,Q86WA8,Q9H1X1
1,O75928,P29590
1,Q96J01,Q8NI27
1,Q9UJM3,P62993
1,Q15078,Q00535
1,P20336,Q96QF0
1,Q12974,O95379
1,Q12974,P49354
1,Q12974,Q9NRU3
1,P25942,P52434
1,Q8NB46,O75170
1,O94906,Q15287
1,O00567,Q92522
1,Q92887,P35241
1,O94906,Q13123
1,O00567,P62906
1,Q13387,P61328
1,Q15020,O43395
1,Q04724,P55316
1,Q13387,P46734
1,Q04724,P40189
1,Q15020,O43447
1,P55795,Q02809
1,Q68E01,Q9NRY2
1,Q04724,Q03014
1,P24386,Q9H0U4
1,P50750,Q04206
1,Q8NFJ9,Q3SYG4
1,P50750,Q7L2J0
1,Q04724,P15336
1,P50750,Q13451
1,Q9BXC9,Q3SYG4
1,Q9UGL1,O43172
1,Q9BXC9,Q9NQ48
1,P60866,P46782
1,P60866,P62266
1,P22681,P12931
1,P19532,O15067
1,O60884,Q8IWL3
1,Q8TBA6,P62820
1,P22681,P68036
1,P22681,Q9Y5K6
1,O75489,O95139
1,P22681,P62993
1,P62820,Q8N122
1,P22681,P29317
1,O75489,O00217
1,P22681,P10721
1,Q15532,P15336
1,O75489,O96000
1,O75489,O95182
1,O75489,O43181
1,O75446,Q9H160
1,O75489,Q9UI09
