Cls,IntA,IntB
1,P35609,P03950
1,Q14451,Q92730
1,P35609,Q05586
1,P04626,O00459
1,Q9H0E7,Q9NQ50
1,Q92995,Q9Y597
1,O75317,Q14562
1,O43747,Q14677
1,Q14562,Q9Y388
1,O43747,Q8NC96
1,Q15545,Q92804
1,P04626,Q9UNE7
1,P04626,P08238
1,P78352,Q07954
1,P78352,P28223
1,Q96SU4,Q99880
1,Q9Y294,Q86UE8
1,P78352,Q14289
1,Q01167,Q7Z3B3
1,P10242,Q969H0
1,P78352,O43166
1,P51398,O00220
1,Q6ZVD8,Q99536
1,P25398,P46782
1,P78352,P39086
1,P25398,P62244
1,Q15853,Q12974
1,Q15853,Q5VV67
1,O00459,P22681
1,O14908,P12814
1,Q8IVD9,Q6PID8
1,Q8WWY3,Q7L2J0
1,O14908,Q03167
1,O14908,O60333
1,Q9H845,Q5T2R2
1,O14908,Q9UM54
1,Q9NXF1,Q9BV38
1,O00459,P19012
1,Q16543,Q9Y572
1,O14908,Q96T76
1,O14908,Q6P996
1,Q7L2J0,O00567
1,Q9NQ50,Q9BYD2
1,P11177,O00330
1,Q16543,Q9UQ88
1,Q9HAU4,Q9HCE7
1,Q9HAU4,Q9H469
1,Q8IXW5,Q9NWS0
1,P08559,Q16654
1,Q9BRJ2,Q8N5N7
1,P08559,O94966
1,Q13017,P61586
1,Q9UJM3,P31947
1,P53611,Q7Z6K3
1,Q96ES7,Q96BN2
1,P16070,P15311
1,Q8NI36,O00567
1,Q9H3H9,O14965
1,Q9NS91,Q06609
1,Q9NS91,Q12888
1,Q8IY92,Q9H0U9
1,Q9Y4B4,Q9UIV1
1,Q8IY92,Q9BQ83
1,O94906,Q96DI7
1,O94906,O43172
1,Q9BQ83,P35749
1,Q9NRD5,P48058
1,P35241,P15311
1,O00567,Q9Y2X3
1,O94906,O43395
1,Q04724,Q9Y261
1,Q04724,Q96HZ4
1,Q04724,Q14469
1,Q9H9F9,Q9ULG1
1,P50750,O00267
1,Q04724,Q13547
1,Q04724,O43711
1,Q86UR5,O14795
1,Q04724,Q96EB6
1,O94888,Q9NSI6
1,P50750,P67870
1,Q9UGL1,P06400
1,P22681,P00519
1,P22681,P29353
1,P22681,Q13239
1,P16949,Q9NVW2
1,Q92556,Q8N1I0
1,P22314,P05161
1,O75489,Q9BU61
1,O75489,P51970
1,P48382,O14593
1,P33076,O14593
1,P61019,Q14254
1,O75446,Q9HCU9
1,Q05195,P31749
1,P22681,P07333
1,Q9BQE3,P68371
1,Q12846,O75379
1,Q12846,P60880
1,P62269,P15880
1,Q12846,O43752
1,P22681,P08069
1,P20338,Q6WKZ4
1,P22681,Q9C004
1,P22681,Q8IZP0
1,Q6ZMZ0,Q9NWZ5
1,P20338,P31150
1,P06241,P07900
1,P22681,P57075
1,P15498,P19174
1,Q9UI09,O75380
1,P06241,A7KAX9
1,O43181,P49821
1,Q9H1K0,Q9H4M9
1,P15498,Q15910
1,P20749,Q92993
1,P20749,O00625
1,P15498,P07437
1,P20339,P51148
1,Q9BXW4,O75143
1,O15519,O14763
1,P06493,Q9H4X1
1,Q6IBW4,P42695
1,O00560,P42263
1,P15498,P04049
1,O00560,O75385
1,P43490,Q01628
1,P19174,Q07889
1,O43521,Q9HD36
1,Q14457,Q9HD26
1,Q9Y296,P0DI81
1,Q14457,Q13428
1,P19174,P50607
1,Q9NS75,Q9Y271
1,Q14457,Q16531
1,P19174,O95817
1,Q14318,Q5T4F4
1,Q13286,Q7KZN9
1,Q7Z4H7,Q9NVX0
1,P19838,Q9BYH8
1,P19174,P10912
1,P31150,P61020
1,Q96RT8,Q6NZ67
1,Q96RT8,Q6P582
1,O60341,Q8TBB5
1,O60341,Q96JB6
1,Q00653,Q02878
1,Q14203,O14593
1,Q14203,Q96RK4
1,O60341,Q5T6S3
1,P28482,P36507
1,Q07812,Q7Z419
1,P28482,Q15349
1,Q16584,P31749
1,Q96QZ7,Q7L1Q6
1,Q96QZ7,O94868
1,P28482,P10275
1,Q5SW96,Q9H668
1,P28482,Q99956
1,O15211,P61224
1,P28482,P06239
1,Q5SXM2,O75971
1,Q9HAW0,Q9UIA9
1,P28482,P14921
1,Q9HAW0,O95831
1,Q99728,P46736
1,Q9BYD2,Q9NP92
1,Q99728,O95453
1,Q15543,Q92804
1,P11233,Q8IYI6
1,Q9Y5Q9,Q8WXF8
1,P14735,Q9Y6E7
1,Q9Y6M0,P36952
1,Q8IYI6,O00471
1,Q3KNV8,Q9HCM7
1,P63167,O14576
1,P10586,P00533
1,P43405,Q9UHP3
1,P43405,P19320
1,P46379,Q13509
1,Q68DK7,Q9HCI7
1,Q13136,P67775
1,P63167,Q14149
1,O60231,Q92917
1,Q96HA7,Q6ZRQ5
1,Q14204,P03372
1,Q14204,P37840
1,Q14204,Q13409
1,P07814,P19320
1,Q9UBS4,Q16827
1,P61962,Q9HAH7
1,P61978,P00533
1,Q06609,Q9Y620
1,Q06609,O43502
1,Q06609,P46736
1,O94905,O75477
1,Q9UBC0,Q9Y261
1,Q13239,P20963
1,Q9BU64,Q92674
1,P51587,Q7Z589
1,Q86X55,Q9Y3R0
1,Q14289,O15259
1,Q96B01,Q8TAF3
1,P54132,P61956
1,Q92917,Q9BRD0
1,Q15910,O75461
1,Q6ZW61,Q9NPJ1
1,O94979,Q92734
1,Q9NPJ1,Q8TAM1
1,Q14524,Q96PU5
1,Q9ULT6,Q2MKA7
1,Q15910,Q12972
1,O60566,P30260
1,P34947,P37840
1,Q15910,P06493
1,O60566,Q9H1A4
1,Q9P0W2,Q9UKL0
1,Q9P0W2,O60341
1,Q15910,P84243
1,P62826,P61970
1,Q9NQC8,Q13099
1,P63241,P00441
1,Q13094,Q96QH2
1,P46777,P62829
1,P78314,P43403
1,P09210,O15217
1,O14867,Q9H4H8
1,P42330,P17516
1,Q9UQB8,Q9Y6W5
1,O43255,O94966
1,O14980,P46108
1,P25815,P20809
1,O14980,Q09161
1,P43363,Q9P0K8
1,O60496,P61026
1,P46926,Q9Y303
1,P15927,P35244
1,P15927,P43351
1,P15927,P04406
1,O15524,P06241
1,Q9HBG6,Q96FT9
1,O00308,P54259
1,O00308,Q96G27
1,P46098,Q8WXA8
1,Q13191,P00533
1,O00308,Q8N5I2
1,Q8WV28,Q96B97
1,Q8WV28,P16885
1,O60543,Q96AQ7
1,Q12904,Q13155
1,P84243,Q08945
1,Q9H0H5,O75154
1,P54198,Q9BW71
1,P54198,Q9NVP2
1,P42166,O75531
1,P42166,Q93009
1,P42166,P02545
1,Q04721,Q06330
1,P15884,P50553
1,P21980,P02751
1,O43463,Q16576
1,P15884,Q96MH2
1,O43463,Q01196
1,P27635,P61247
1,P27635,P62266
1,Q92968,O75381
1,O43463,Q9Y2L8
1,P35869,P07900
1,P27635,P62273
1,P27635,Q9Y3U8
1,Q9Y463,Q9NYF3
1,O60500,P22223
1,Q15154,Q96RK4
1,Q15154,Q86YT6
1,Q06587,P51668
1,P20226,O14981
1,Q06587,Q93009
1,Q06587,Q969R5
1,Q96CW1,O95782
1,P20226,Q15545
1,Q13363,Q9H307
1,P20226,Q15653
1,Q13277,P61764
1,P20226,Q5VWG9
1,Q04864,Q00653
1,P62316,P62308
1,P62314,O14744
1,Q04864,P51003
1,P51948,P33993
1,P45983,P27986
1,O43390,P09651
1,O15151,P48729
1,P45983,O14733
1,Q9Y333,P62310
1,Q9Y333,Q9UK45
1,P45983,P38936
1,P45983,P40763
1,P45983,Q9NZC7
1,Q9Y4Z0,Q9Y4E8
1,P62312,Q9Y4Y9
1,P62312,Q9UK45
1,P45983,P46108
1,P62312,O43172
1,P45983,O43379
1,Q16576,Q8WWY6
1,Q9NY12,Q9NPE3
1,P60510,Q92620
1,P60510,Q16204
1,Q92882,P15090
1,Q16576,P28370
1,Q12996,Q6UN15
1,Q09028,Q13330
1,P07948,P27815
1,Q09028,Q9UBB5
1,Q92797,Q9P2I0
1,Q92797,Q10570
1,P07948,Q13432
1,Q99081,P15923
1,Q09028,P84243
1,Q09028,O14519
1,O94813,Q9Y6N7
1,P07948,P05556
1,Q09028,Q92833
1,O00628,P09110
1,O00628,P78371
1,O00257,P35226
1,O00257,P78364
1,O00257,P27348
1,O00257,Q8NDX5
1,Q13224,O14910
1,Q13224,Q96AX9
1,Q8N488,P35227
1,Q13107,Q9Y333
1,Q13107,Q96F86
1,O76003,Q9Y3E2
1,P27986,P07766
1,P31947,Q6P4F7
1,P27986,P00519
1,P78396,P24941
1,P27986,P31749
1,Q12931,Q16394
1,Q12931,Q93063
1,P27986,P35568
1,Q13077,P25942
1,P27986,P06239
1,Q13077,Q13490
1,Q13077,Q93009
1,P31947,Q9BRG2
1,P31947,O43166
1,P27986,P19793
1,P27986,Q9UKG1
1,P31947,Q6ICG6
1,Q06124,P40189
1,Q13077,Q9BYM8
1,Q06124,Q03135
1,O14933,Q7Z419
1,Q13077,Q9H0F6
1,Q14232,Q9NR50
1,Q96FV9,Q13838
1,Q96FV9,Q86V81
1,Q9UBU8,Q96QT6
1,Q06124,P12931
1,O75154,P18085
1,P31943,P52597
1,Q06124,P35568
1,Q06124,Q15303
1,Q06124,Q8N1K5
1,Q12933,P43489
1,Q12933,Q13490
1,P52597,Q13418
1,Q12933,Q9BWF2
1,P29350,P00519
1,Q9NPD3,Q9Y2L1
1,Q9NPD3,Q06265
1,Q12933,Q9NQC7
1,P29350,P00533
1,Q12933,P08138
1,P29350,P11274
1,Q12933,O43318
1,Q12933,Q14164
1,P12931,P18433
1,P12931,Q07954
1,Q12933,P00533
1,Q6P1K2,Q9BZD4
1,P12931,Q9Y4K3
1,Q14145,Q9H2G2
1,P12931,P49023
1,Q14145,Q6UVJ0
1,P12931,Q13177
1,Q5TKA1,Q52LA3
1,Q5TKA1,P10243
1,P12931,Q92731
1,P55055,Q15648
1,P49770,Q9UI10
1,P62195,P11473
1,P62195,Q99460
1,P62195,P62191
1,P62195,Q16401
1,Q7KZI7,Q10713
1,P12931,O43150
1,P28222,Q9Y2Q3
1,P62195,O00487
1,P11473,Q13573
1,P42224,P19525
1,P33992,Q08945
1,P11473,P30281
1,P11473,Q93074
1,P42224,O14980
1,P11473,Q9UHV7
1,P42224,P17706
1,P42224,Q6UWB1
1,P42224,P38398
1,Q9Y6Q9,Q92831
1,O95782,Q01968
1,P13688,P31997
1,Q9Y6Q9,P38398
1,Q13772,O95714
1,Q9H0E9,Q9NXR8
1,Q9H0E9,O96019
1,O15164,P03372
1,Q14994,Q15648
1,Q15648,Q93074
1,P10276,Q9UPP1
1,Q15648,Q96G25
1,Q15648,P38398
1,Q49AN0,O15534
1,Q49AN0,Q9UNS1
1,O75970,Q4VCS5
1,P30153,P23508
1,Q15648,Q15528
1,P30153,Q9NSA3
1,P06239,O60880
1,Q15648,Q9Y3C7
1,P06239,P40763
1,P30153,P30154
1,P30153,Q13362
1,P30153,Q06190
1,P06239,P43403
1,Q15650,Q04206
1,P30153,Q86XL3
1,Q15466,Q96ST3
1,Q15466,Q96EB6
1,Q14686,Q00613
1,Q14686,P12956
1,P42768,O43516
1,P42768,Q15811
1,O95163,Q96EB1
1,Q15653,O14920
1,P98082,Q13526
1,P98082,O14641
1,P98082,Q96B97
1,P49407,O14641
1,Q9Y6X2,Q15911
1,P49407,O00541
1,P49407,Q16627
1,Q92585,Q9UM47
1,P49407,P68400
1,P49407,Q96DG6
1,P46531,Q9Y219
1,P46531,P49841
1,Q8TDY2,Q9H1Y0
1,Q15596,O60563
1,Q15596,O75335
1,P62140,P61244
1,P62140,Q96QC0
1,O76064,Q969T4
1,P62140,Q9H2D6
1,P62140,Q4KMQ1
1,P25098,P50148
1,Q9Y2W7,P49768
1,P25098,P18545
1,O95644,P11309
1,P25098,P30556
1,Q9UMX0,P55036
1,O95644,P01100
1,O95644,P51532
1,Q9UMX0,Q9NRR5
1,O95644,Q09472
1,P11309,P00533
1,Q00610,O00291
1,Q7KZF4,Q14164
1,Q00610,Q9UJY4
1,Q00610,Q9NZ52
1,Q00610,Q9UJY5
1,Q00610,P19532
1,Q00610,P03372
1,Q13185,P68431
1,Q13873,O00238
1,Q00610,Q9H4A3
1,Q13185,Q6N043
1,Q00610,P25105
1,O00238,O43541
1,Q00610,Q99615
1,P11831,P48443
1,P50395,P61006
1,Q16531,Q13216
1,Q16531,Q969U6
1,P50395,P02751
1,P11831,P29590
1,P50395,Q9H0U4
1,P48443,Q03181
1,Q16531,Q6R327
1,P41240,Q13283
1,Q16531,Q58WW2
1,P41240,P08575
1,Q96CV9,Q9HA65
1,P16157,Q8WZ42
1,P16157,P11277
1,Q96CV9,Q9H492
1,Q12851,Q12933
1,Q9UQ26,P20336
1,P17542,P11387
1,P17542,O95696
1,P49959,Q9NYB0
1,Q9UQ26,Q8WZA2
1,P25791,Q15555
1,Q9Y2J0,P20337
1,P25791,Q86U70
1,O60934,Q14676
1,P61371,Q8TE12
1,P61371,P10589
1,P35968,P29353
1,P23921,P31350
1,P31350,Q7LG56
1,P48444,P61923
1,Q9UBF2,Q9Y678
1,P62753,P62266
1,Q15047,P31749
1,Q15047,Q13111
1,Q13571,P46934
1,P11308,P13010
1,P11308,P12956
1,P56159,Q99748
1,P11308,P05388
1,P21580,Q8NFZ5
1,Q96T58,Q06330
1,Q9UBP5,O96004
1,Q53EL6,P62277
1,Q15046,Q14197
1,P62277,Q00653
1,P16333,Q13153
1,Q15046,P14868
1,P16333,Q9Y2A7
1,P56645,O96017
1,Q16656,Q5VV67
1,P05388,P03372
1,Q07157,Q9P2M7
1,Q07157,P56747
1,P16333,Q9ULH1
1,Q07157,P55196
1,P61956,P01100
1,Q12905,P09651
1,P61956,P08670
1,Q12967,P61225
1,Q12905,Q6PKG0
1,Q12905,Q96KR1
1,Q12967,Q9Y4G8
1,Q13901,Q06265
1,Q16585,Q96LD1
1,Q8WWW0,P50749
1,P61956,Q8IY92
1,P61201,Q13098
1,P61956,P08238
1,P61201,Q99627
1,P61201,Q9P2N7
1,Q7Z465,P14174
1,Q7Z465,P60953
1,P40189,P29353
1,P61956,Q92878
1,P61956,Q13263
1,P61956,P46087
1,P61956,Q5VZL5
1,P61956,P39023
1,P61956,Q8WXI9
1,P63261,P23528
1,P54274,Q9H816
1,P63261,P62328
1,P63261,Q99689
1,O95271,Q9UIQ6
1,Q9NUX5,Q9NYB0
1,P61956,P43246
1,P61956,Q14839
1,P63261,P63104
1,P61956,Q93009
1,P16885,Q13480
1,P61956,O60341
1,O43524,Q9BSB4
1,P61956,P29373
1,P29353,Q05209
1,O15492,P04899
1,P29353,Q12929
1,Q9UBE0,Q02790
1,P29353,P33151
1,P17844,P40337
1,P29353,P03372
1,Q8WUM0,Q8NFH3
1,P29353,Q9UM73
1,P46060,P49792
1,P12270,P57740
1,P29353,Q96CW1
1,P78406,Q9UNN5
1,O14893,P08621
1,P54252,Q96DC9
1,P54252,O95155
1,Q05397,P05106
1,Q05397,P29317
1,Q05397,P51813
1,O14893,Q8WXD5
1,P55072,Q96JH7
1,O14893,Q9H840
1,P08621,Q96SB4
1,P08621,P78362
1,P08621,Q16637
1,P55072,Q96CS3
1,P08621,P62316
1,Q05397,O60711
1,P08621,O43390
