Class,IntA,IntB
1,P54762,P52803
1,P54762,P24666
1,P52803,P29322
1,P52803,P29320
1,P24666,P19320
1,Q99952,O43586
1,Q99952,Q9H939
1,Q99952,P00533
1,O43586,Q05209
1,O43586,P42768
1,O43586,P48023
1,O43586,P62910
1,O43586,P62899
1,O43586,Q9Y3U8
1,O43586,P47914
1,P00533,Q9UJM3
1,P00533,P35222
1,P00533,Q15303
1,P00533,P15498
1,P00533,P19174
1,P00533,P61978
1,P00533,Q14289
1,P00533,O43561
1,P00533,P07947
1,P00533,P29350
1,P00533,P09769
1,P00533,P11309
1,P00533,P51451
1,P00533,P52735
1,P00533,P40855
1,P00533,O14654
1,P00533,Q92569
1,P00533,P52630
1,P00533,P14923
1,P00533,P12830
1,P00533,P09874
1,P00533,P10636
1,P00533,Q02952
1,P00533,P17252
1,P00533,Q02156
1,P00533,P05067
1,P00533,P46940
1,P00533,Q13387
1,P00533,P10586
1,P00533,P42685
1,P00533,P41240
1,P00533,P62330
1,P00533,Q99418
1,P00533,P05023
1,P00533,P08581
1,P00533,P27348
1,P00533,Q99075
1,P00533,P51636
1,P00533,O75159
1,P00533,P20936
1,P00533,Q04695
1,P00533,P46108
1,P00533,P24821
1,P00533,Q12929
1,P00533,P49069
1,P00533,P18085
1,P00533,P56539
1,P00533,O00750
1,P00533,O14964
1,P00533,O14828
1,P00533,O75368
1,P00533,Q02297
1,P00533,P35221
1,P00533,Q00325
1,P00533,Q9UBB4
1,P00533,P16615
1,P00533,Q9NR50
1,P00533,P11142
1,P00533,P08238
1,P00533,Q99962
1,P00533,P42684
1,P00533,P98077
1,P00533,Q9NSE2
1,P00533,P07900
1,P00533,P17931
1,P00533,Q05209
1,P00533,O75674
1,P00533,O95782
1,P00533,Q12852
1,P00533,P31948
1,P00533,P06493
1,P00533,Q15750
1,P00533,P63010
1,P00533,O95470
1,P00533,Q96A65
1,P00533,Q38SD2
1,P00533,Q9UBS4
1,P00533,Q9UQB8
1,P00533,P31749
1,P00533,O43707
1,P00533,Q9Y6K9
1,P00533,Q8N5H7
1,P00533,Q9UPY6
1,P00533,Q9Y5X1
1,P00533,O14544
1,Q9NRD5,P98172
1,Q9NRD5,Q14832
1,Q9NRD5,P17252
1,Q9NRD5,Q9Y624
1,Q9NRD5,Q13002
1,Q9NRD5,P78348
1,Q9NRD5,Q05084
1,Q14832,P35813
1,Q14832,Q9Y3R0
0,Q14832,Q9NRY2
0,Q14832,Q9NV88
1,P17252,P24588
1,P17252,P17302
1,P17252,Q15717
1,Q9Y624,P55196
1,Q13002,Q12959
1,Q13002,Q9Y3R0
1,P35222,Q92793
1,P35222,Q13526
1,P35222,P84022
1,P35222,O14745
1,P35222,P14923
1,P35222,P12830
1,P35222,P98161
1,P35222,Q8IUQ4
1,P35222,Q13547
1,P35222,P46940
1,P35222,P10586
1,P35222,P08581
1,P35222,P46937
1,P35222,Q9Y4A5
1,P35222,O15105
1,P35222,P48729
1,P35222,P35221
1,P35222,Q15078
1,P35222,P19838
1,P35222,P49789
1,P35222,O43707
1,P35222,P19022
1,P35222,Q9UJU2
1,P35222,Q92729
1,P35222,Q9HCS4
1,P35222,Q9UI47
1,P35222,Q86UU0
1,P35222,P11388
1,P35222,P36402
1,P35222,Q08050
1,P35222,Q5JTC6
1,Q92793,P84022
1,Q92793,Q04206
1,Q92793,Q07666
1,Q92793,P04637
1,Q92793,P37231
1,Q92793,P14921
1,Q92793,P01100
1,Q92793,P01106
1,Q92793,P05412
1,Q92793,Q13485
1,Q92793,Q00987
1,Q92793,Q86X55
1,Q92793,Q01844
1,Q92793,Q15788
1,Q92793,Q01094
1,Q92793,Q9Y6K9
1,Q92793,P11831
1,Q92793,Q14686
1,Q92793,P10242
1,Q92793,P15976
1,Q92793,Q16236
1,Q92793,P52630
1,Q92793,P52948
1,Q92793,Q13569
1,Q92793,P42226
1,Q92793,Q9UBC0
1,Q92793,Q16621
1,Q92793,Q96PN7
1,Q92793,Q9UBE8
1,Q92793,P19784
1,Q92793,P16220
1,Q92793,Q9NP62
1,Q92793,P18146
1,Q92793,Q12778
1,Q92793,P04150
1,Q92793,Q9UH73
1,Q92793,Q12824
1,Q92793,P18848
1,Q92793,Q86UE4
1,Q92793,O43524
1,Q92793,P12956
1,Q92793,P63165
1,Q13526,P84022
1,Q13526,P04637
1,Q13526,P05412
1,Q13526,P20338
1,Q13526,O00267
1,Q13526,P19784
1,Q13526,P11388
1,Q13526,P10636
1,Q13526,Q07820
1,Q13526,O75909
1,Q13526,Q15131
1,Q13526,P51617
1,P84022,Q14511
1,P84022,P05412
1,P84022,Q13950
1,P84022,Q13485
1,P84022,P17676
1,P84022,P01106
1,P84022,O43524
1,P84022,P50616
1,P84022,Q9HCE7
1,P84022,P04637
1,P84022,P11473
1,P84022,Q8TEW0
1,P84022,P31749
1,P84022,P04150
1,P84022,Q9UJU2
1,P84022,O15198
1,P84022,P12755
1,P84022,Q8TEW8
1,P84022,P49716
1,P84022,P49841
1,P84022,Q93009
1,P84022,O75618
1,P84022,Q9BYW2
1,P84022,Q5D1E8
1,P84022,Q99836
1,P84022,Q13547
1,P84022,Q9Y5K5
1,P84022,Q9NZH6
1,O14745,P46937
1,O14745,P07550
1,O14745,P41145
1,O14745,Q92887
1,O14745,P47900
1,O14745,Q9BXI6
1,P14923,P12830
1,P14923,P35221
1,P14923,Q02413
0,P14923,P51684
1,P12830,P07900
1,P12830,P62136
1,P12830,Q00987
1,P12830,Q14344
1,P12830,P35221
1,P12830,Q92597
1,P12830,Q9UI95
1,P12830,O43707
1,P12830,P19388
1,P12830,P21980
1,P12830,P49748
1,P12830,P13010
1,P12830,O60331
1,Q8IUQ4,Q9GZU2
1,Q8IUQ4,P43146
1,Q8IUQ4,P51825
1,Q8IUQ4,Q86TG7
1,Q8IUQ4,O75925
1,Q8IUQ4,O43236
1,Q8IUQ4,Q8IXK0
1,Q8IUQ4,Q99836
1,Q13547,O15105
1,Q13547,Q04724
1,Q13547,Q04206
1,Q13547,P05412
1,Q13547,P06400
1,Q13547,Q13950
1,Q13547,P09874
1,Q13547,Q01094
1,Q13547,P29374
1,Q13547,Q16576
1,Q13547,Q13330
1,Q13547,O60921
1,Q13547,Q99638
1,Q13547,Q6W2J9
1,Q13547,Q96ST3
1,Q13547,Q9UIF9
1,Q13547,Q92841
1,Q13547,Q05516
1,Q13547,Q96QT6
1,Q13547,P26358
1,Q13547,P11388
1,Q13547,P19838
1,Q13547,Q00987
1,Q13547,Q4LE39
1,Q13547,Q12873
1,Q13547,Q9UM07
1,Q13547,O96028
1,Q13547,P01106
1,Q13547,P06748
1,Q13547,P38936
1,Q13547,Q96PN7
1,Q13547,Q14687
1,Q13547,P37231
1,Q13547,P49716
1,Q13547,Q9HAJ7
1,Q13547,P17987
1,Q13547,Q9UBU8
1,Q13547,P16220
1,Q13547,Q99471
1,Q13547,O60684
1,Q13547,Q14865
1,Q13547,Q9ULU4
1,Q13547,Q6PH81
1,Q13547,Q7Z3K6
1,Q13547,Q96N64
1,Q13547,Q14202
1,Q13547,Q96A08
1,Q13547,P62136
1,P46940,P19320
1,P46940,P63000
1,P46940,P24588
1,P46940,P62330
1,P46940,Q99816
1,P46940,O75369
1,P46940,P60709
1,P46940,O43707
1,P46940,P60660
1,P08581,P19174
1,P08581,O14964
1,P08581,P46108
1,P08581,O15524
1,P08581,P14210
1,P08581,O43157
1,P08581,Q96S59
1,P08581,Q6VN20
1,P46937,Q15303
1,P46937,O15105
1,P46937,P27348
1,P46937,Q04917
1,P46937,P62136
1,P46937,Q13950
1,P46937,Q15561
1,P46937,Q99594
1,P46937,Q16621
1,Q9Y4A5,P04637
1,Q9Y4A5,P01106
1,Q9Y4A5,Q01094
1,Q9Y4A5,Q9UBU8
1,Q9Y4A5,P17542
1,Q9Y4A5,O96019
1,Q9Y4A5,Q9NV56
1,Q9Y4A5,Q96ES7
1,Q9Y4A5,Q86TJ2
1,Q9Y4A5,Q6PJQ5
1,Q9Y4A5,O95619
0,Q9Y4A5,P51684
1,O15105,P37173
1,O15105,Q13485
1,O15105,Q15750
1,O15105,Q8TEW0
1,O15105,Q9HCE7
1,O15105,P31749
1,O15105,P36894
1,O15105,Q9UJU2
1,P48729,P07900
1,P48729,P19320
1,P48729,Q04917
1,P48729,P04637
1,P48729,Q00987
1,P48729,Q96A00
1,P48729,Q6ZRV2
1,P48729,O75330
1,P48729,Q70CQ2
1,P35221,P12814
1,P35221,P55196
1,P35221,Q9UDY2
1,P35221,P19022
1,Q15078,P12814
1,Q15078,Q01105
1,Q15078,P49418
1,Q15078,Q96SN8
1,Q15078,Q6ZMQ8
1,Q15078,Q96SZ6
1,P19838,P08238
1,P19838,P17676
1,P19838,Q15788
1,P19838,Q01094
1,P19838,Q13352
1,P19838,P09874
1,P19838,P10599
1,P19838,Q92887
1,P19838,Q9Y6K9
1,P19838,P11142
1,P19838,P38646
1,P19838,P04150
1,P19838,P42226
1,P19838,Q9BYH8
1,P19838,P17066
1,P19838,Q92785
1,P49789,P63279
1,O43707,O14964
1,O43707,P19320
1,O43707,P12814
1,O43707,Q13555
1,O43707,O00151
1,O43707,Q92738
1,O43707,Q9UMD9
1,O43707,O75382
1,P19022,Q96NW7
1,P19022,Q14344
1,P19022,Q03113
1,Q9UJU2,Q04724
1,Q9UJU2,Q13485
1,Q9UJU2,Q9UBE8
1,Q9UJU2,O75030
0,Q86UU0,A1A5B4
0,Q86UU0,Q9UGT4
0,Q86UU0,A5X5Y0
0,Q86UU0,P51684
1,P11388,P19320
1,P11388,P05412
1,P11388,P63279
1,P11388,P61956
1,P11388,P13010
1,P11388,P63165
1,P11388,P55854
1,P11388,Q9H211
1,Q08050,Q96FW1
1,Q15303,Q12959
1,Q15303,Q02297
1,Q15303,Q12816
1,Q12959,P35609
1,Q12959,P33402
1,Q12959,P22459
1,Q12959,P06239
1,Q12959,A1A5B4
