Class,IntA,IntB
1,P10721,P19174
1,P10721,P42680
1,P10721,Q13191
1,P10721,P21583
1,P10721,P42224
1,P10721,Q13588
1,P10721,P62993
1,P10721,P00519
1,P10721,P11274
1,P19174,P07949
1,P19174,P62993
1,P19174,P00533
1,P19174,P15498
1,P19174,Q07889
1,P19174,Q08881
1,P19174,Q9Y4H2
1,P19174,Q13480
1,P19174,Q9Y2X7
1,P19174,Q96QT4
1,P19174,P00519
1,P19174,P68104
1,P19174,P10912
1,P19174,Q92918
1,P42680,P15498
1,Q13191,P62993
1,Q13191,P00533
1,Q13191,P15498
1,Q13191,P16333
1,Q13191,Q14155
1,Q13191,Q16832
0,Q13191,Q9P0L9
1,P42224,P00533
1,P42224,P40763
1,P42224,P29597
1,P42224,P33992
1,P42224,Q6UWB1
1,P42224,P15260
1,P42224,Q00613
1,P42224,P51532
1,P42224,Q7Z434
1,Q13588,P48023
1,P62993,Q5SQ64
1,P62993,P07949
1,P62993,P15498
1,P62993,P40189
1,P62993,Q06187
1,P62993,P00519
1,P62993,P45984
1,P62993,Q08881
1,P62993,P52735
1,P62993,O15357
1,P62993,O43597
1,P62993,Q8WU20
1,P62993,Q8TF42
1,P62993,Q9Y4H2
1,P62993,Q13480
1,P62993,Q9UQC2
1,P62993,Q07889
1,P62993,Q9Y2X7
1,P62993,P18031
1,P62993,P08514
1,P62993,O60610
1,P62993,O00401
1,P62993,Q02763
1,P62993,P10644
1,P62993,Q14185
1,P62993,P30530
1,P62993,P07550
1,P62993,P00533
1,P62993,P48023
1,P62993,Q99062
1,P62993,P11274
1,P62993,P07355
1,P62993,P15941
1,P62993,P07333
1,P62993,Q8NFH8
1,P62993,Q92918
1,P62993,O00750
1,P62993,Q86WV1
1,P62993,O43426
1,P62993,Q9NZQ3
1,P62993,Q5JS13
1,P62993,Q8TBC3
1,P62993,Q15303
1,P62993,P50570
1,P62993,O95630
1,P62993,P05787
1,P62993,Q04695
1,P62993,P34931
1,P62993,O75083
1,P62993,P08238
1,P62993,Q08209
1,P62993,P42684
1,P62993,O43150
1,P62993,Q15427
1,P62993,Q9Y478
1,P62993,Q92734
1,P62993,O43516
