Class,IntA,IntB
1,Q14451,P04626
1,Q14451,P10721
1,Q14451,P21860
1,Q14451,Q05397
1,Q14451,P06213
1,Q14451,P07949
1,Q14451,P31947
1,Q14451,P54762
1,P04626,P78352
1,P04626,O00459
1,P04626,Q99952
1,P04626,Q9UJM3
1,P04626,Q9NRD5
1,P04626,P62993
1,P04626,P35222
1,P04626,Q06124
1,P04626,P00533
1,P04626,P07900
1,P04626,P15309
1,P04626,P27986
1,P04626,P19174
1,P04626,P21860
1,P04626,P42679
1,P04626,P29353
1,P04626,Q05397
1,P04626,Q14289
1,P04626,Q02297
1,P04626,P40763
1,P04626,P16070
1,P04626,Q99650
1,P04626,Q05209
1,P04626,O75367
1,P04626,P02786
1,P04626,O95292
1,P04626,Q16543
1,P04626,P22681
1,P04626,P15311
1,P10721,O00459
1,P10721,P22681
1,P10721,P19174
1,P10721,P42680
1,P10721,Q13191
1,P10721,P27986
1,P10721,Q06124
1,P10721,P29350
1,P10721,P21583
1,P10721,P42679
1,P10721,P42224
1,P10721,Q13322
1,P10721,Q13588
1,P10721,O75791
1,P10721,Q9UQQ2
1,P10721,O75970
1,P10721,P62993
1,P10721,P08631
1,P10721,O75159
1,P10721,P46108
1,P10721,O60674
1,P10721,P06239
1,P10721,P11274
1,P21860,O00459
1,P21860,P27986
1,P21860,Q06124
1,P21860,P29353
1,P21860,P62993
1,P21860,Q13882
1,P21860,P27701
1,P21860,Q9H4P4
1,P21860,P00533
1,P21860,Q02297
1,P21860,P42336
1,P21860,Q92569
1,P21860,P07900
1,P21860,P68366
1,Q05397,P19174
1,Q05397,P43405
1,Q05397,P27986
1,Q05397,Q06124
1,Q05397,P42224
1,Q05397,P16333
1,Q05397,P29353
1,Q05397,P05106
1,Q05397,O43294
1,Q05397,P49023
1,Q05397,P56945
1,Q05397,O43639
1,Q05397,P49841
1,Q05397,Q9ULH1
1,Q05397,Q8TDY2
1,Q05397,Q14511
1,Q05397,O75925
1,Q05397,P16144
1,Q05397,P15311
1,Q05397,P41240
1,Q05397,P43146
1,Q05397,O60711
1,Q05397,P00533
1,Q05397,P35568
1,Q05397,O60674
1,Q05397,P46108
1,Q05397,P40763
1,Q05397,Q9H3S7
1,Q05397,Q92569
1,P06213,P15498
1,P06213,P19174
1,P06213,P27986
1,P06213,Q06124
1,P06213,P29350
1,P06213,P29353
1,P06213,Q07666
1,P06213,Q15796
1,P06213,O15357
1,P06213,Q9Y4H2
1,P06213,Q15262
1,P06213,P18031
1,P06213,P20936
1,P06213,P35568
1,P06213,O60674
1,P06213,Q05209
1,P06213,O14543
1,P06213,O14492
1,P06213,P22413
1,P07949,P22681
