Class,IntA,IntB
1,Q14451,P21860
1,Q14451,Q05397
1,Q14451,Q92730
1,Q14451,P06213
1,Q14451,P07949
1,Q14451,P31947
1,Q14451,P54762
1,P21860,O00459
1,P21860,P27986
1,P21860,P62993
1,P21860,Q13882
1,P21860,P49798
1,P21860,O14511
1,P21860,P00533
1,P21860,Q02297
1,P21860,P15941
1,P21860,P42336
1,P21860,P08238
1,P21860,P07900
1,Q05397,P19174
1,Q05397,P43405
1,Q05397,P07948
1,Q05397,P27986
1,Q05397,P42224
1,Q05397,P16333
1,Q05397,P05106
1,Q05397,O43294
1,Q05397,P56945
1,Q05397,P49841
1,Q05397,Q9UNA1
1,Q05397,Q9ULH1
1,Q05397,O75925
1,Q05397,P15311
1,Q05397,P41240
1,Q05397,Q92859
1,Q05397,O60711
1,Q05397,P00533
1,Q05397,P06241
1,Q05397,P35568
1,Q05397,O60674
1,Q05397,P46108
1,Q05397,P60484
1,Q05397,P40763
1,Q05397,Q9H3S7
1,Q92730,Q13017
1,Q92730,O43157
1,Q92730,Q5T124
1,P06213,P15498
1,P06213,P19174
1,P06213,O15524
1,P06213,P27986
1,P06213,P29350
1,P06213,Q07666
1,P06213,Q15796
1,P06213,O15357
1,P06213,Q9Y4H2
1,P06213,Q15262
1,P06213,P23458
1,P06213,P18031
1,P06213,Q14449
1,P06213,P51692
1,P06213,Q05655
1,P06213,P35568
1,P06213,O60674
1,P06213,Q9NRF2
1,P06213,O14543
1,P06213,O14492
1,P07949,P22681
1,P07949,P19174
1,P07949,Q13322
1,P07949,Q8WU20
1,P07949,P62993
1,P07949,P00533
1,P07949,P40763
1,P07949,P46108
1,P07949,O60496
1,P07949,Q8TEW6
1,P07949,Q9P104
0,P07949,Q96P44
0,P07949,Q14CZ8
0,P07949,Q96A58
0,P07949,Q86VQ3
0,P07949,O14960
1,P31947,Q9UJM3
1,P31947,Q9H0H5
1,P31947,Q8IUC4
1,P31947,P10398
1,P31947,Q9Y4H2
1,P31947,P63104
1,P31947,Q99959
1,P31947,P56524
1,P31947,O15151
1,P31947,Q99418
1,P31947,P68400
1,P31947,Q00987
1,P31947,P00533
1,P31947,P04049
1,P31947,Q04912
1,P31947,O75592
1,P31947,O00750
1,P31947,P40818
1,P31947,O15056
1,P31947,P04150
1,P31947,Q92934
1,P31947,Q9UDY2
1,P31947,Q96PU5
1,P31947,Q9Y446
1,P31947,P33176
1,P31947,Q14258
1,P31947,O00444
1,P31947,O60269
1,P31947,Q8TEW8
1,P31947,Q5T5U3
1,P31947,Q5VV41
1,P31947,Q12774
1,P31947,Q9P2M7
1,P31947,Q86UW9
1,P31947,Q13627
1,P31947,Q9H2C0
1,P31947,Q02241
1,P31947,Q8WWI1
1,P31947,Q9Y2U5
1,P31947,Q9BPZ7
1,P31947,Q9P0L2
1,P31947,Q7KZI7
1,P31947,Q9H1K1
1,P31947,Q9H4L5
1,P31947,Q9UBF8
1,P31947,Q86W92
1,P31947,Q8ND30
1,P31947,O95685
1,P31947,Q86YD1
1,P31947,P17706
1,P31947,P26045
1,P31947,Q86X27
1,P31947,P61587
1,P31947,Q9H4B6
1,P31947,Q9P0V3
1,P31947,Q8TF72
1,P31947,O43166
1,P31947,O60292
1,P31947,Q9UQ35
1,P31947,P78524
1,P31947,Q13049
1,P31947,Q14966
1,P31947,Q6ICG6
1,P31947,Q96IF1
1,P31947,Q7L5N1
1,P54762,P22681
1,P54762,P16333
1,P54762,P52803
1,P54762,P24666
0,P54762,Q96P44
0,P54762,Q14CZ8
0,P54762,Q96A58
0,P54762,Q86VQ3
0,P54762,O14960
1,O00459,P22681
1,O00459,P62993
1,O00459,P46109
1,O00459,P00533
1,O00459,P37173
1,O00459,P01133
1,O00459,P06241
1,O00459,P09603
1,O00459,P42338
1,O00459,P42336
1,O00459,P46108
1,O00459,P19320
1,O00459,P19012
1,P27986,P62993
1,P27986,P35222
1,P27986,P00533
1,P27986,P22681
1,P27986,P15498
1,P27986,Q13094
1,P27986,O43561
1,P27986,P45983
1,P27986,Q96B97
1,P27986,P15509
1,P27986,P10398
1,P27986,Q06418
1,P27986,Q9Y4H2
1,P27986,P10912
1,P27986,P46109
1,P27986,O43184
1,P27986,P42338
1,P27986,P56945
1,P27986,Q13480
1,P27986,P61981
1,P27986,Q9UKW4
1,P27986,Q9UQC2
1,P27986,P07766
1,P27986,P29350
1,P27986,P60953
1,P27986,Q07666
1,P27986,P31749
1,P27986,P46108
1,P27986,P08581
1,P27986,P37173
1,P27986,P16410
1,P27986,P15311
1,P27986,P30874
1,P27986,P03372
1,P27986,P06241
1,P27986,P12318
1,P27986,P35568
1,P27986,O60674
1,P27986,P14778
1,P27986,P06239
1,P27986,P25963
1,P27986,P42336
1,P27986,P07333
1,P27986,Q99704
1,P27986,P29376
1,P27986,Q07889
1,P27986,Q13111
1,P27986,O15455
1,P27986,P11274
1,P27986,Q9UKG1
1,P62993,Q9UJM3
1,P62993,P22681
1,P62993,P15498
1,P62993,P19174
1,P62993,P43405
1,P62993,P61978
1,P62993,Q14289
1,P62993,Q13094
1,P62993,O43561
1,P62993,P29350
1,P62993,Q9UQQ2
1,P62993,P98082
1,P62993,P14317
1,P62993,P35968
1,P62993,Q06187
1,P62993,P63261
1,P62993,Q07666
1,P62993,P56945
1,P62993,P06400
1,P62993,Q96B97
1,P62993,O15357
1,P62993,O43597
1,P62993,Q9Y5K6
1,P62993,Q8WU20
1,P62993,Q9Y4H2
1,P62993,P42338
1,P62993,O14654
1,P62993,Q13480
1,P62993,Q9UKW4
1,P62993,Q9UQC2
1,P62993,P42336
1,P62993,Q07889
1,P62993,P04629
1,P62993,Q9GZY6
1,P62993,P23458
1,P62993,P18031
1,P62993,O60610
1,P62993,Q02763
1,P62993,P10644
1,P62993,Q15109
1,P62993,P21802
1,P62993,P46940
1,P62993,Q14185
1,P62993,P08581
1,P62993,Q01082
1,P62993,P35462
1,P62993,Q14118
1,P62993,P00533
1,P62993,P35916
1,P62993,Q99062
1,P62993,P42858
1,P62993,P35568
1,P62993,O60674
1,P62993,P11274
1,P62993,P09917
1,P62993,P15941
1,P62993,P46108
1,P62993,Q14247
1,P62993,P07333
1,P62993,P19438
1,P62993,Q8NFH8
1,P62993,P17600
1,P62993,Q04912
1,P62993,Q05193
1,P62993,O00750
1,P62993,O75674
1,P62993,Q86WV1
1,P62993,O43609
1,P62993,O15056
1,P62993,Q9NRF2
1,P62993,Q8TBC3
1,P62993,O14492
1,P62993,P50570
1,P62993,O95630
1,P62993,P41212
1,P62993,P05787
1,P62993,Q04695
1,P62993,P42566
1,P62993,Q13233
1,P62993,P35579
1,P62993,P07437
1,P62993,P34931
1,P62993,P60866
1,P62993,P12268
1,P62993,Q9Y265
1,P62993,P11142
1,P62993,O75083
1,P62993,P10809
1,P62993,P19338
1,P62993,P08238
1,P62993,Q08209
1,P62993,P26641
1,P62993,O14490
1,P62993,O43150
1,P62993,Q9ULH1
1,P62993,Q8IVH8
1,P62993,Q15027
1,P62993,Q15427
1,P62993,Q9Y478
1,P62993,Q92734
1,P62993,Q9UM73
1,P62993,Q96P48
1,P62993,O43516
1,P62993,Q38SD2
1,P62993,Q9H939
1,P62993,Q9H3S7
1,P62993,Q5JSH3
1,P62993,Q7L591
1,P62993,Q99816
1,P62993,Q6ZUJ8
1,P62993,Q12774
1,P62993,Q9H7D0
1,P62993,A6NGB9
1,P62993,P05141
1,P62993,P12236
1,P62993,Q9H792
1,P62993,P19320
1,P62993,O43295
1,P62993,O60636
1,P62993,Q8N1K5
1,Q13882,P00533
1,Q13882,Q07666
1,P49798,P00533
1,P49798,P09471
1,P49798,P53618
1,P49798,P35606
1,P49798,P04899
1,P00533,Q9UJM3
1,P00533,P35222
1,P00533,P16070
1,P00533,P22681
1,P00533,P15498
1,P00533,P19174
1,P00533,P61978
1,P00533,Q14289
1,P00533,O43561
1,P00533,P45983
1,P00533,P07948
1,P00533,P29350
1,P00533,P42224
1,P00533,P46109
1,P00533,Q99704
1,P00533,O75791
1,P00533,P09769
1,P00533,P26447
1,P00533,P10275
1,P00533,P51451
1,P00533,Q96B97
1,P00533,O15357
1,P00533,Q9H6Q3
1,P00533,O15162
1,P00533,P40855
1,P00533,O14654
1,P00533,Q13480
1,P00533,P63104
1,P00533,Q07889
1,P00533,P14923
1,P00533,P33151
1,P00533,P18031
1,P00533,Q14449
1,P00533,O60749
1,P00533,Q03135
1,P00533,P09874
1,P00533,P04114
1,P00533,P27824
1,P00533,P42229
1,P00533,P51692
1,P00533,P10636
1,P00533,Q02952
1,P00533,P27695
1,P00533,O75886
1,P00533,P16591
1,P00533,P17252
1,P00533,Q02156
1,P00533,P46940
1,P00533,Q13387
1,P00533,P55042
1,P00533,Q8IYI6
1,P00533,P10586
1,P00533,P42685
1,P00533,Q12933
1,P00533,P49407
1,P00533,P41240
1,P00533,Q99418
1,P00533,P32121
1,P00533,P23528
1,P00533,P05023
1,P00533,P08581
1,P00533,Q96EY1
1,P00533,P27348
1,P00533,Q10567
1,P00533,P30304
1,P00533,P40763
1,P00533,P04083
1,P00533,P15311
1,P00533,Q99075
1,P00533,P04406
1,P00533,P08195
1,P00533,O75159
1,P00533,Q9H299
1,P00533,P01133
1,P00533,P03372
1,P00533,O60674
1,P00533,Q04695
1,P00533,P15941
1,P00533,P46108
1,P00533,P24821
1,P00533,P00403
1,P00533,Q12929
1,P00533,P62316
1,P00533,P49069
1,P00533,P18085
1,P00533,P56539
1,P00533,O15492
1,P00533,O00750
1,P00533,O14543
1,P00533,O14964
1,P00533,O60496
1,P00533,P42566
1,P00533,Q92529
1,P00533,O75368
1,P00533,P08069
1,P00533,Q02297
1,P00533,P07437
1,P00533,P55060
1,P00533,Q9UBB4
1,P00533,P04792
1,P00533,P16615
1,P00533,P04264
1,P00533,Q9NR50
1,P00533,P11142
1,P00533,P31943
1,P00533,P08238
1,P00533,P31689
1,P00533,O60603
1,P00533,P98077
1,P00533,Q92870
1,P00533,Q9NRF2
1,P00533,Q9NSE2
1,P00533,P07900
1,P00533,Q9UBN7
1,P00533,P17931
1,P00533,O75674
1,P00533,O95782
1,P00533,P09936
1,P00533,P26641
1,P00533,P31948
1,P00533,P40818
1,P00533,Q15750
1,P00533,P08631
1,P00533,O94973
1,P00533,P63010
1,P00533,Q8IUR7
1,P00533,Q16543
1,P00533,P54652
1,P00533,A1L0T0
1,P00533,Q38SD2
1,P00533,P25705
1,P00533,Q9UQB8
1,P00533,P53680
1,P00533,P30307
1,P00533,P31749
1,P00533,P19438
1,P00533,Q68CZ2
1,P00533,Q16620
1,P00533,Q8N5H7
1,P00533,Q9UPY6
1,P00533,P04049
1,P00533,P37840
1,P00533,Q99963
1,P00533,Q14247
1,P00533,O14544
1,P00533,Q6S5L8
1,P00533,P19338
1,Q02297,P53667
1,P15941,P35222
1,P15941,P07948
1,P15941,Q07889
1,P15941,P14923
1,P15941,Q05655
1,P15941,P49841
1,P42336,P22681
1,P42336,Q9Y4H2
1,P42336,Q9UKG1
1,P42336,O75689
1,P42336,P35568
1,P42336,P31749
1,P08238,P07900
1,P08238,P63261
1,P08238,P63165
1,P08238,Q16665
1,P08238,O00170
1,P08238,P10636
1,P08238,Q15418
1,P08238,Q02156
1,P08238,Q12933
1,P08238,P61956
1,P08238,O14757
1,P08238,Q02790
1,P08238,P04049
1,P08238,P50613
1,P08238,P23258
1,P08238,O14920
1,P08238,P60484
1,P08238,Q14164
1,P08238,Q9UHD1
1,P08238,P03372
1,P08238,P50750
1,P08238,P09651
1,P08238,Q9H6T3
1,P08238,P41279
1,P08238,Q16543
1,P08238,P04899
1,P08238,P04406
1,P08238,P00558
1,P08238,P35579
1,P08238,P13639
1,P08238,Q9HB07
1,P08238,P19838
1,P08238,P53041
1,P08238,P15056
1,P08238,P06241
1,P08238,Q5S007
1,P08238,Q96GD4
1,P08238,P19320
1,P08238,P22694
1,P08238,Q13131
1,P08238,P11802
1,P08238,Q96Q40
1,P08238,P24941
1,P08238,P31948
1,P08238,Q8IWD4
1,P08238,Q9H3U1
1,P08238,O95718
1,P08238,O00400
1,P07900,P36897
1,P07900,P06239
1,P07900,P05412
1,P07900,P10275
1,P07900,P63165
1,P07900,Q16665
1,P07900,Q07869
1,P07900,O00170
1,P07900,O14654
1,P07900,Q14653
1,P07900,Q6VAB6
1,P07900,Q05655
1,P07900,Q15418
1,P07900,P43034
1,P07900,Q14994
1,P07900,P55854
1,P07900,P68400
1,P07900,Q00987
1,P07900,O14757
1,P07900,Q13619
1,P07900,P37173
1,P07900,O14746
1,P07900,Q03113
1,P07900,P04049
1,P07900,P11142
1,P07900,Q9UBN7
1,P07900,P23258
1,P07900,O14920
1,P07900,P48729
1,P07900,P41279
1,P07900,P26368
1,P07900,P09936
1,P07900,P19320
1,P07900,Q13131
1,P07900,O43318
1,P07900,Q15750
1,P07900,P04150
1,P07900,Q9NYJ8
1,P07900,P51398
1,P07900,Q16543
1,P07900,O14727
1,P07900,P06241
1,P07900,Q03181
1,P07900,P53041
1,P07900,P30153
1,P07900,O43765
1,P07900,Q15785
1,P07900,P24941
1,P07900,P11802
1,P07900,P03372
1,P07900,P31749
1,P07900,Q9Y266
1,P07900,P40763
1,P07900,P31689
1,P07900,Q13451
1,P07900,Q13043
1,P07900,Q9BQI3
1,P07900,O75344
1,P07900,Q02153
1,P07900,P29474
1,P07900,O94826
1,P07900,Q719I0
1,P07900,Q00613
1,P07900,P81133
1,P07900,Q8TF40
1,P07900,P10911
1,P07900,Q9UKV8
1,P07900,Q9H093
1,P07900,Q9H9G7
1,P07900,Q9UHD1
1,P07900,Q8IWD4
1,P07900,O94966
1,P07900,Q9H6T3
1,P07900,Q9H1R3
1,P07900,Q9H3U1
1,P07900,P34932
1,P07900,Q96EB6
1,P07900,Q9UQ88
1,P07900,Q5S007
1,P07900,P22694
1,P07900,Q9BYZ6
1,P19174,P15498
1,P19174,Q07889
1,P19174,P04629
1,P19174,Q16288
1,P19174,P43405
1,P19174,Q9Y4H2
1,P19174,P50607
1,P19174,Q13094
1,P19174,O43561
1,P19174,Q07666
1,P19174,Q13480
1,P19174,Q9GZY6
1,P19174,Q96QT4
1,P19174,P35968
1,P19174,P08581
1,P19174,P09327
1,P19174,Q16620
1,P19174,Q9UM73
1,P19174,P10912
1,P19174,Q14315
1,P19174,O60674
1,P43405,P40763
1,P43405,P06241
1,P43405,P22681
1,P43405,P46109
1,P43405,P19320
1,P43405,P06239
1,P43405,P15498
1,P43405,P09769
1,P43405,P07948
1,P43405,Q06187
1,P43405,P29350
1,P43405,Q13094
1,P43405,O43561
1,P43405,Q9Y4K3
1,P43405,P11912
1,P43405,P40259
1,P43405,P12318
1,P43405,Q14247
1,P43405,O00241
1,P43405,Q9UHP3
1,P43405,P36888
1,P43405,Q9ULZ3
1,P07948,P22681
1,P07948,P42680
1,P07948,P61978
1,P07948,Q13094
1,P07948,P29350
1,P07948,Q06187
1,P07948,P27815
1,P07948,P14317
1,P07948,Q07666
1,P07948,P56945
1,P07948,Q13432
1,P07948,Q8WWW8
1,P07948,Q8NDB2
1,P07948,P24941
1,P07948,P32927
1,P07948,P12318
1,P07948,O60674
1,P07948,P11802
1,P07948,Q03405
1,P42224,P40763
1,P42224,P29597
1,P42224,P19525
1,P42224,Q05655
1,P42224,Q00597
1,P42224,Q92793
1,P42224,P78347
1,P42224,O14980
1,P42224,Q15628
1,P42224,Q13287
1,P42224,P17706
1,P42224,O75925
1,P42224,P48551
1,P42224,Q09472
1,P42224,Q00613
1,P42224,Q00978
1,P42224,P10914
1,P42224,P51532
1,P42224,P42345
1,P42224,Q7Z434
1,P16333,P22681
1,P16333,P46108
1,P16333,Q13094
1,P16333,O60500
1,P16333,Q99704
1,P16333,P35968
1,P16333,Q07889
1,P16333,O43516
1,P16333,Q05193
1,P16333,Q07666
1,P16333,Q16513
1,P16333,Q13153
1,P16333,P56945
1,P16333,Q8IZP0
1,P16333,P20042
1,P16333,O95819
1,P16333,Q9Y2A7
1,P16333,O60496
1,P16333,Q13177
1,P16333,O15056
1,P16333,Q8N4C8
1,P16333,Q13444
1,P16333,O14513
1,P16333,Q14118
1,P16333,Q9ULH1
1,P16333,Q6PJG9
1,P05106,Q14289
1,P05106,P35968
1,P05106,P07996
1,P05106,P06756
1,P05106,Q13352
1,P05106,P08648
1,P05106,Q99828
0,P05106,Q96P44
0,P05106,Q14CZ8
0,P05106,Q96A58
0,P05106,O14960
1,O43294,Q14289
1,O43294,Q9BUZ4
1,O43294,P10275
1,O43294,P78396
1,O43294,Q9ULV8
1,O43294,P04792
1,P56945,Q14289
1,P56945,P06241
1,P56945,P46109
1,P56945,P46108
1,P56945,P63104
1,P56945,P06239
1,P56945,O15357
1,P56945,Q9Y5K6
1,P56945,P18031
1,P56945,Q15942
1,P56945,Q14185
1,P56945,Q9HD43
1,P56945,Q96B97
1,P56945,O75815
1,P56945,A7KAX9
1,P56945,Q9Y4L1
1,P56945,Q9Y6I3
1,P49841,Q15797
1,P49841,P18031
1,P49841,P10275
1,P49841,P62136
1,P49841,P01106
1,P49841,P46531
1,P49841,Q01844
1,P49841,Q12933
1,P49841,P31749
1,P49841,Q04721
1,P49841,P25054
1,P49841,Q96QU8
1,P49841,P36873
1,P49841,P10636
1,P49841,P17612
1,P49841,Q92837
1,P49841,O75474
1,P49841,P24864
1,P49841,O00429
1,P49841,Q96G01
1,P49841,P13807
1,P49841,Q9NRG4
1,P49841,Q9P0R6
1,P49841,Q16637
1,P49841,Q9NZI8
1,P49841,P08621
1,P49841,O75533
1,P49841,O75398
1,P49841,O95278
1,P49841,P08670
1,P49841,P54252
1,P49841,Q01201
1,P49841,P10644
1,P49841,Q5S007
1,Q9UNA1,Q6P5Z2
1,Q9ULH1,P06241
1,Q9ULH1,P08631
1,Q9ULH1,Q14247
1,Q9ULH1,Q96B97
1,Q9ULH1,Q9UKS6
1,Q9ULH1,Q9UNF0
1,O75925,P10275
1,O75925,Q13485
1,O75925,P61956
1,O75925,Q9Y6K1
1,O75925,Q8IUQ4
1,O75925,P63165
1,O75925,O75928
1,O75925,Q9UIS9
0,O75925,Q96P44
0,O75925,Q14CZ8
0,O75925,O14960
1,P15311,P16070
1,P15311,Q15599
1,P15311,P17252
1,P15311,Q13158
1,P15311,P26038
1,P15311,P19320
1,P15311,P32004
1,P15311,P25815
1,P15311,Q9Y478
1,P15311,P25445
1,P15311,P34741
1,P15311,P05362
1,P15311,Q6ZVD8
1,P41240,P06241
1,P41240,P22681
1,P41240,P61978
1,P41240,P98082
1,P41240,P05412
1,P41240,P42685
1,P41240,P49407
1,P41240,P08069
1,P41240,Q13283
1,P41240,Q96MU7
1,P41240,Q14118
1,P41240,P08575
1,O60711,P49639
1,O60711,Q8IVE3
1,P06241,P35222
1,P06241,Q14289
1,P06241,P16070
1,P06241,P22681
1,P06241,P15498
1,P06241,P29597
1,P06241,P61978
1,P06241,O15524
1,P06241,O60500
1,P06241,Q13322
1,P06241,Q07666
1,P06241,Q13432
1,P06241,Q8WWW8
1,P06241,Q9Y5K6
1,P06241,Q07889
1,P06241,Q15762
1,P06241,Q13291
1,P06241,P10636
1,P06241,P54829
1,P06241,Q05655
1,P06241,P29322
1,P06241,Q14118
1,P06241,O60674
1,P06241,P06729
1,P06241,P07333
1,P06241,Q96MU7
1,P06241,Q13444
1,P06241,Q9ULV8
1,P06241,P54764
1,P06241,Q86WV1
1,P06241,O60880
1,P06241,Q16543
